UniqueCount	AmbigCount
0	1
0	0
3	0
0	0
0	37
0	0
1	8
0	0
0	0
0	659
0	16
2	339
12	1371
7	1504
3023	5115
0	1315
0	1778
0	785
1	629
7	1875
3	1121
169	3003
95	15118
99	14971
27	627
0	0
1	2542
32	2980
51	710
94	2410
79	776
0	339
1	2802
21	957
101	1101
8	6
0	151
0	0
0	0
0	0
0	0
5	438
0	693
13	4636
41	365
0	271
0	3136
0	3804
73	1223
0	958
23	52
5	136
3	31
8	65
0	179
42	57
2	200
0	0
1	108
0	1
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	980
5	3764
0	0
0	0
0	0
0	0
407	2666
0	446
0	88
0	1964
0	718
37	1455
3	232
3	2472
2	2455
0	889
0	0
0	0
0	0
6	102
0	0
0	139
1	1300
1	3848
2	3
0	0
0	0
1	17
1	0
945	182
1	18
0	18
0	2
0	2
0	15
0	3580
0	0
0	1078
0	172
0	0
1	0
0	712
0	0
1	0
0	595
0	587
0	597
18	20
0	499
9	546
0	597
1	30
3	84
2	536
11	1212
16	1506
0	7
0	891
0	0
6	4
1	7
0	891
0	0
0	0
9	6
0	86
57	530
214	155
0	145
0	234
0	105
3	225
1	223
0	125
0	227
0	135
0	122
0	440
0	83
126	25
0	55
3	26
0	54
2	42
0	16
0	18
2	94
0	12
12	31
2	23
0	63
2	0
0	36
0	0
1	4237
0	0
204	1193
5	2892
0	0
11	27
0	9
0	4
0	12
0	3
0	2370
0	4
0	4
0	12
0	4
0	2370
0	1
0	1
13	1165
0	6
0	0
7	141
4	1796
0	14
0	0
3	9170
3	0
1	3090
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	398
0	0
0	0
1	40
0	5844
0	0
3	59
0	0
23	1633
0	0
0	2
20	3642
8	772
4	1301
173	9283
0	2
0	0
3	586
93	59
0	59
0	0
0	0
0	0
0	0
11	0
20	1618
3	1396
0	364
32	1398
5	92
3	88
66	198
0	179
0	0
0	0
0	0
0	0
0	0
0	0
2	60
0	0
0	16
0	0
14	838
0	145
0	0
0	145
0	339
0	2
0	0
0	0
0	0
0	0
0	0
0	111
0	0
0	0
0	0
0	0
0	0
0	615
2	0
0	0
0	0
0	0
0	289
0	0
0	0
4	0
0	0
22	585
0	585
0	169
0	171
0	0
0	5
30	5
0	0
0	0
4	71
4	71
10	1239
4	1
0	1
0	10
41	35
0	6
16	30
0	0
0	2
0	29
0	0
0	2
1	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2035
0	0
0	0
84	1289
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	2784
11	463
0	312
91	12081
10	447
2	496
3	105
0	494
0	0
2	0
0	0
0	0
11	0
0	69
5	509
0	1
0	0
0	0
0	0
0	0
0	1491
1	0
0	180
0	0
1	2
0	1
0	0
0	0
0	0
0	1
0	0
1	7
2	0
0	210
0	0
0	0
9	202
3	30
1	1
6	419
2	2
0	5028
10	0
1	568
12	541
0	0
4	2338
1	849
0	0
0	0
0	2
0	78
0	2
3	1808
1	33
0	16
0	16
0	15
0	48
0	264
0	258
4	42
19	52
0	255
3	158
0	13
2	141
1	2
0	1608
3	274
0	864
0	678
0	672
0	538
1	1641
0	1667
0	1663
14	8942
0	68
14	45
0	0
4	68
4	652
7	667
0	1417
11	200
7	40
21	133
0	327
7	258
0	49
0	52
0	2255
0	59
1230	1801
173	4153
0	661
7	1086
0	879
0	217
0	1072
0	26
66	2
2613	1899
0	76
6	69
19	2924
37	1849
28	28
0	0
0	0
0	0
0	0
0	432
0	210
0	83
0	0
0	0
15	488
38	1209
8	101
4	1209
0	9
23	3
446	2719
5731	1343
0	194
0	390
0	7
0	108
0	0
0	0
0	0
0	0
3	0
0	0
355	243
5	282
14	796
0	958
0	191
13	146
0	830
63	2082
0	3120
0	2977
0	3301
0	3973
20	3743
225	2723
0	3681
0	77
2	296
0	226
9	0
2	22
0	0
0	22
172	21
1	3
1	0
0	0
0	2520
5	2498
11	141
11	44
2	358
0	0
0	0
0	3699
0	0
0	3021
48	3334
0	1842
178	1118
19	496
0	2718
0	0
4	0
1	0
0	0
1277	5682
0	536
42	1152
2	4086
0	0
0	24
2	24
0	24
0	47
2	47
0	24
0	44
0	2
0	9
0	1
0	6
0	1
0	0
0	0
0	0
3	182
0	14
527	813
193	23
57	532
0	543
0	530
0	494
0	182
0	482
0	322
0	328
0	321
0	61
12	1626
24	1700
1	1085
1	854
1	1660
0	344
39	1006
7	0
3	53
11	67
0	24
47	49
0	36
0	49
13	1210
3	1155
8	22
152	48
0	839
0	1152
5	416
6	819
0	0
88	1917
5	1676
7	32
0	66
0	78
2	0
14	10
7	10
16	0
16	1
15	1
33	0
0	0
0	0
0	0
1	854
0	0
0	0
26	1404
0	47
0	476
53	0
4	1210
1	5
64	7
0	2392
0	2
53	4909
13	4068
4	4797
13	4840
0	2990
1	4360
0	68
0	68
3	2104
0	2104
1	1413
0	597
4	33
0	1955
1	1951
210	96
0	631
0	1555
0	1518
0	1492
0	1628
0	1556
0	158
0	72
20	13
0	113
0	92
0	225
92	178
5	98
1	100
0	708
9	1800
1	1374
14	3
13	0
1	18
15	3691
0	19
0	1
0	45
0	28
27	26
0	9
6	4
3	942
0	170
9	4423
169	942
0	4422
8	1295
6	1254
7	1105
0	1850
0	1859
335	2239
701	362
0	263
25	190
5	99
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	57
0	0
11	1
0	0
0	440
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
14	195
3	1
0	1324
6	706
50	791
6	221
0	625
0	974
0	479
10	9
0	1
0	0
0	8
0	0
0	0
0	0
0	1
873	0
0	4486
0	543
0	143
0	244
0	131
1573	1112
1	50
14	209
0	458
0	377
179	0
0	0
0	0
4	998
1	1607
4	1
0	0
13	441
1	9519
536	8487
0	2321
0	9563
0	7317
0	6906
0	1664
12	2254
54	501
3	32
0	13
4	330
0	13
2	333
1	10
15	10
10	833
11	833
0	94
0	51
3	220
0	196
0	15
5	17
0	0
1	351
0	0
0	0
0	0
9	5
0	18
0	0
4	4730
0	31
0	175
0	0
4	3
9	0
0	0
0	0
0	1
0	0
0	2
1	126
0	0
7	0
0	0
0	1263
2	1246
5	157
0	162
1	877
10	86
45	589
0	191
0	136
0	0
0	12
0	2462
0	146
0	0
0	134
0	134
0	134
2	0
6	1160
0	25
0	39
0	0
2	12504
3	133
0	0
1	1
0	0
0	0
0	71
9	537
0	0
0	0
7	14120
0	0
0	0
0	484
0	0
0	245
0	91
0	91
3	0
0	0
9	3558
0	0
3	1
55	90
0	103
0	0
2	173
0	1
1	0
0	172
1	0
28	1200
0	0
1	5635
23	5632
96	983
8	36869
11	745
2	43582
0	50959
0	42676
75	50509
0	10205
0	41967
743	2219
105	14533
76	48153
126	4377
0	18941
19	8567
0	1475
0	0
0	7293
5	1459
0	1420
5	903
42	621
0	733
192	1294
0	727
7	334
0	0
139	6370
0	492
6	142
49	499
0	19
0	119
0	64
0	0
0	0
0	0
0	10
10	355
1901	307
1	366
1	241
5	219
1	44
85	107
1	220
0	582
2	122
0	0
0	22
2	370
0	0
0	1
0	1
0	1
0	0
0	0
0	2
16	5
97	508
3	0
0	321
353	346
90	9
14	26
15	1787
226	1201
48	415
0	565
0	1942
0	11535
50	11462
1	1039
0	1425
72	850
9	116
76	0
1	1
0	1
448	9
1	2595
243	571
36	5613
19	0
1	14
1	5
4	4
0	0
0	0
0	796
0	0
0	0
0	0
0	1
0	0
5	0
0	0
0	0
334	67
17	21
0	21
347	172
36	2112
0	0
0	0
0	0
0	0
0	36
0	0
0	0
0	36
0	0
0	36
22	36
0	0
0	0
0	0
0	36
0	0
90	133
6	27
2	1
20	5746
0	0
1	262
13	0
0	0
0	0
0	0
0	0
2	0
4	0
0	0
1	0
7413	11919
0	5191
0	10421
6	9275
8	1301
1	753
0	306
2	210
0	1131
0	328
22	4656
0	238
1	19
11	0
1	28
1132	411
0	0
0	670
236	902
0	329
0	0
0	494
0	1949
0	586
3	109
8	371
3	234
3	1734
1614	16714
306	1027
207	212
0	2941
273	11420
0	872
0	292
121	7695
0	6702
217	2198
28	7485
1	6533
15	76
8	105
21	201
1	464
0	506
0	521
0	83
0	0
0	0
0	0
0	8145
0	8145
4	15
0	0
3	454
0	0
0	0
0	0
0	0
3	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	335
0	2067
3	360
1	339
9	242
34	10667
0	373
0	591
0	409
0	0
0	862
0	0
1	624
0	969
0	405
0	600
3	0
0	679
1	0
127	2
26	35
0	0
9	476
3296	390
142	699
0	159
46	3
0	50
3	3541
0	9
21	588
48	10722
0	47
0	47
0	36
4	7860
14	3411
0	4
229	656
151	536
0	102
51	1
0	431
0	242
1	295
0	51
0	29
15	2240
0	331
0	19434
0	19357
25	0
3	3102
0	302
0	2761
0	2751
36	112
0	74
0	358
0	43
0	411
0	154
0	222
0	247
0	0
0	0
0	12190
0	453
10823	1429
302	1429
3	0
80	12009
0	0
0	13
46	0
29	2001
21	23349
10380	4296
1	4296
334	7606
19356	7606
351	292
0	2039
0	0
0	266
0	0
0	0
0	0
0	0
0	0
0	4
0	485
0	456
4	11
0	17
0	484
0	0
0	72
0	24
7	14
7	1
1	8708
0	0
0	603
0	603
0	14
0	92
0	603
0	603
1	0
0	0
0	0
0	40
7	3244
2	98
171	109
42	267
0	270
505	10162
0	55
30	4259
0	1982
0	3359
0	872
0	3323
0	3552
11	631
1	1423
8	1555
0	8
3	0
0	0
4	3
0	3612
0	0
0	0
0	0
0	0
0	0
0	1
0	2
0	1
0	1
0	0
0	0
0	0
0	1
0	2
0	0
3	0
2	1
0	160
0	0
25	568
90	310
0	582
0	159
7	46
0	61
0	0
0	0
0	0
1	7960
0	0
7	1228
3	1064
9	157
0	759
0	3639
968	3680
9	600
17	974
0	1021
33	51
8	171
1	0
1	0
1	174
0	80
2	26
0	162
0	24
0	50
0	8
0	0
1	355
1	689
72	523
29	7553
30	355
441	1282
62	394
47	1073
0	41
0	1296
10	146
0	0
0	0
4	1224
0	0
0	0
1	39
0	116
0	3
0	47
0	55
1	3
0	1
0	55
0	54
0	0
1	21
14	13
0	7
0	6
0	51
0	51
0	5
0	2
0	14
0	2
0	2
0	2
0	3
0	4
0	4
0	3
0	6
0	0
0	3
0	1
0	0
0	3
0	0
0	0
16	93
20	2347
0	2347
0	2349
0	733
47	40
9	0
0	0
0	0
0	0
8	0
4	0
0	0
0	0
1	19
1	3
0	0
1	0
0	859
0	0
6	0
10	4
115	127
2	0
0	19
0	19
0	19
61	26
3	51
0	0
0	0
0	0
0	0
0	0
0	0
0	0
150	530
49	30
1	150
5	452
0	199
0	109
0	0
0	0
0	0
0	0
0	9
0	0
0	0
0	0
0	2986
0	4835
3	94
0	170
0	164
3	127
0	0
0	0
1392	0
1	3530
0	101
0	216
18	461
0	551
0	848
0	971
1	952
21	817
1	131
0	2
0	1
0	0
529	18433
46	16693
18	11757
27	9644
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
0	0
5	5657
0	6
2	384
3211	25227
1247	25163
24	24458
0	0
0	272
221	333
0	1016
63	108
0	127
2	1167
0	321
0	14
0	21
19	370
0	911
0	28
0	0
0	0
0	0
0	0
0	95
0	1448
0	1451
0	1433
0	24
0	1
0	3
0	35
0	18
0	29
0	34
3	259
7	257
1	14
0	0
6	1
0	0
0	0
0	0
1248	435
2	324
14	171
0	218
0	218
0	218
0	0
0	8
0	8
10	14930
0	8
0	8
0	4
0	10
1	182
2	189
8	189
4	28
0	3
0	2
0	3
0	0
0	3
0	1
0	0
0	0
0	0
10	1374
0	82
0	17
0	67
0	737
0	149
0	68
18	27
6	745
3	453
0	141
6	9
0	1
0	8
0	0
0	0
0	0
57	26
0	26
0	0
11	0
0	0
7	33
2	3647
2	3843
9	3582
11	318
1	3560
3	242
31	131
0	76
0	605
3	1096
2	1144
0	1150
0	337
0	191
0	471
3	515
0	691
154	145
0	207
26	856
1	847
0	806
8	800
0	244
14	148
1	1213
17	145
0	385
0	1100
4	359
0	1085
0	492
1	592
0	444
0	406
0	338
9	7647
18	234
0	427
0	456
91	355
0	0
60	234
0	99
0	110
0	225
0	228
0	139
0	216
0	26
2	20
1	1
8	33
0	48
0	0
0	0
2	0
0	0
0	0
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
1	1143
0	1180
0	239
0	453
0	556
0	541
0	407
0	539
9	172
0	584
3	312
1	375
13	303
0	0
0	0
1	97
0	19
0	95
1	20
0	0
3	1194
8	1192
7	1179
5	163
0	138
9	816
1	88
0	131
0	23
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	1
0	0
1	1239
0	0
0	0
0	0
0	0
0	0
0	0
0	12
19	1764
1	62
3	1
0	0
0	1
0	2
0	0
0	2
0	1
0	0
4	264
0	202
4	258
10	483
0	37
0	55
0	43
0	65
0	34
2	8
0	8
0	0
0	0
434	256
8	256
0	550
0	0
0	27
0	9
0	3
3	9
0	21
9	77
1	0
8	15
0	0
0	0
0	0
0	0
0	0
26	16
6	4733
0	0
0	0
0	0
1	1219
65	0
4	1219
10	0
0	0
6	1
0	0
0	0
0	0
0	3170
0	814
0	3128
0	3149
53	1323
0	3129
46	3089
0	2891
1	1171
0	719
0	864
2	1463
25	59
4	509
105	0
4	894
19	509
437	0
0	0
2100	12842
15	12409
6	11648
14	12031
0	9599
0	11101
3	7913
10	3058
3	0
0	0
0	0
0	0
3	112
0	0
0	0
0	0
0	2
0	3
0	3
0	248
1	0
0	0
0	0
0	0
0	0
0	108
0	162
0	0
0	25
0	0
0	12
5	12
0	12
0	12
0	176
0	13211
0	1166
0	66
4	301
0	30
2	1234
3	487
0	304
0	206
0	472
0	458
0	34
0	271
0	384
30	1570
0	1622
1	1603
19	1977
6	214
1	1387
1	573
0	1197
0	170
0	495
0	2100
0	126
0	10
0	392
0	2503
1	1413
15	0
0	223
80	1426
0	394
0	402
18	139
0	323
17	3118
0	14475
171	11481
652	13595
113	13742
71	14753
32	12674
3372	18834
2	5325
76	1558
0	9
12	1500
285	7984
4	1782
2	0
1	85
8	74
17	6961
5054	10701
2	1131
6	1379
49	10054
350	79
2392	9896
0	9095
16	3387
2	24
0	6
1	23
0	2
0	1
0	3
0	4
0	3
0	3
0	3
0	2
0	3
0	3
0	1
0	4
22	4
2	93
0	93
0	4162
98	4718
13	45
4	556
0	527
1	1
0	1026
11	1822
3	442
0	145
2	129
6	121
27	138
9	39
14	63
0	146
0	15
21	147
0	137
2	63
2	34
0	21
3	9
0	0
0	0
0	0
2	0
0	0
10	59
32	32
61	27
0	0
3	254
4854	27056
13	21318
33	5216
0	6278
0	15420
5	4
5	1395
0	31
0	880
0	813
0	849
0	94
21	5471
21	133
4	1403
193	698
4	1238
20	1400
14	7237
1	4741
182	1127
2	0
9	0
1	0
86	990
25	2158
7	371
24	0
0	0
0	0
194	936
0	0
0	1
0	0
0	0
0	63
0	63
0	0
0	0
0	0
0	0
0	0
4	1910
22	2348
11	1771
22	3031
3	3030
60	2015
0	967
0	2452
0	0
0	1
0	1
0	0
3	167
0	2032
0	1574
106	241
3	1028
36	0
6	280
0	1208
0	1507
0	1549
9	158
18	69
0	167
0	77
0	1158
0	259
1	193
0	151
0	112
1	337
15	1201
0	808
37	107
0	2
3	2
0	0
0	1227
0	0
0	0
0	0
0	0
0	0
0	0
1	11559
9	498
0	11488
193	3607
0	11065
0	9412
3	655
29	467
0	9743
0	9313
15	642
0	258
7	1419
57	4409
0	651
0	1414
0	1419
0	1437
0	347
12	158
19	49
27	0
146	463
0	0
0	17
5	5061
0	64
4	380
0	72
5	72
0	28
4	143
20	153
1858	4790
7	0
21	407
547	8855
10	371
2	659
27	3807
7	926
0	342
0	1
0	556
0	0
0	8
0	8
0	28
0	7
8	28
4	29
0	9
12	30
0	8
0	0
0	31
0	36
0	31
0	0
0	0
0	36
14	12
0	9
0	36
0	0
0	0
0	0
0	28
0	0
0	0
0	28
0	28
0	6
0	54
1	54
0	0
0	7
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	35
6	189
12	0
0	3
0	5
0	2
0	0
0	22
398	8
0	8
316	476
2	155
0	91
0	14
11	246
0	0
0	0
6	103
0	0
0	1
12	240
0	0
0	0
0	0
10	0
0	0
5	0
0	0
0	60
46	2151
44	2082
10	566
6	120
0	285
0	504
16	208
27	348
1	691
0	0
8	217
0	0
4	0
0	0
0	2028
0	2340
0	2865
4	3042
1086	10986
13	678
0	3011
0	2815
1	8169
29	1543
5	10
8	24
0	0
0	5
29	10
0	5
0	79
1	79
549	74
9	397
1	1705
11	2000
257	1996
0	1778
1	1959
0	172
3	264
4	172
12	541
21	46
0	592
638	598
14	94
0	428
0	531
493	598
1	377
0	492
0	220
0	82
0	459
0	0
0	0
0	0
0	16
0	12
0	0
2	68
2	101
0	70
0	299
0	21
355	301
0	14
1	68
0	104
0	158
1	0
0	0
0	0
0	0
0	20
0	438
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	162
0	121
0	0
0	35
0	0
109	64
0	1
0	0
0	25
0	16
0	14
175	0
2	5018
111	4920
213	796
0	1198
0	769
0	3665
1	3153
12	1137
0	427
0	518
0	821
28	1754
30	279
49	103
0	265
0	71
5	23
0	10
5	9
0	0
1	33
0	15
0	70
0	72
0	75
0	0
0	0
0	0
0	0
0	0
0	14
0	0
0	0
0	0
0	0
0	1
0	1
1	12
1589	25442
0	363
22	310
7	0
0	0
2	0
0	5
0	5
0	0
1	1959
5	2078
0	65
0	113
0	2076
0	2078
2	47
0	27
21	5471
0	114
0	2078
0	121
0	51
0	67
0	121
0	11
0	12
17	65
0	24
26	16
0	49
0	0
0	0
0	0
0	0
0	0
1	273
0	353
323	1989
0	232
2	773
410	1507
4	0
8	278
15	188
2	388
16	81
11	270
0	1342
1	1336
0	227
1	31
0	1027
23	1027
12	144
0	188
0	81
1	75
0	46
0	0
0	3
0	0
0	293
6	2
0	0
0	283
8	120
0	0
0	0
5	16
0	3
5	3
472	481
49	481
22	7
1	33065
37	524
0	0
0	3
0	16
0	98
0	0
0	0
9	156
0	0
1	20543
2	0
0	0
2	0
2	66
3	310
199	105
1	290
6	1
0	231
18	584
0	77
0	0
0	0
12	16
14	13
0	0
0	5
0	210
0	0
0	0
0	0
0	94
0	0
0	0
68	236
1	9
0	0
2	0
0	0
0	2
5	9
4	1255
17	2
1	0
1	8112
1	26
0	0
0	0
0	6
0	0
0	0
1	548
0	0
0	0
0	0
0	0
8	174
0	0
0	0
0	7
0	0
1	249
0	0
0	0
0	0
10	379
0	1
0	0
0	215
0	0
10	29059
2	4080
0	2226
0	0
2	30
5	1137
0	1154
5	1457
1	1043
18	280
182	1790
3	844
5	81
139	0
12	65
12	124
24	109
0	1159
7	206
0	1
0	2
0	0
20	1827
0	1911
12	893
0	242
3	136
0	0
1931	92
114	0
2	39
0	53
0	575
81	639
3	636
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	138
0	138
1	1
0	0
0	16
0	0
0	0
0	0
0	60
0	0
0	0
1	85
0	0
14	7021
0	12
0	81
0	10
0	3
0	2
4	11
0	2
0	2
0	0
0	0
0	33
0	0
0	0
2	69
0	9
0	0
0	0
22	163
0	2
0	0
0	0
0	3
0	0
0	0
0	2
7	2069
0	0
0	0
0	2
1	0
1	138
0	0
0	0
0	2
0	0
0	0
0	0
1	141
0	0
0	2
1	153
842	888
0	767
0	211
5	24
0	2273
2	2275
0	2288
0	2258
13	400
0	1022
0	1225
0	1206
0	2307
0	1265
24	461
0	1131
0	2245
0	2231
0	1015
37	8079
8	166
0	852
0	114
0	105
2	164
0	832
0	78
0	106
0	1600
5	0
0	8
0	217
31	15
45	1334
0	0
30	83
0	0
0	0
0	0
17	0
0	9
4	13
2	458
0	0
914	302
4	301
0	0
0	3054
0	1
0	1
1	1
0	0
0	0
0	0
0	4
0	4
2	84
14	116
0	86
0	38
0	44
1	276
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
3	46
0	0
0	0
0	0
0	0
0	0
33	0
795	535
12	119
4	119
16	82
1	531
31	285
2	319
2	0
1	86
0	33
3	3
0	0
1	432
0	0
