UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	1
0	0
0	0
2	2
0	0
1	18
0	76
0	100
1	910
0	78
115	617
0	52
0	75
0	27
0	37
0	52
0	42
14	663
8	758
3	757
3	161
0	0
0	80
2	97
0	13
11	81
4	109
0	5
1	96
3	56
44	372
0	2
0	54
0	0
0	0
0	0
0	0
0	10
0	16
7	455
1	5
0	4
0	114
0	438
7	81
0	263
3	43
0	73
0	15
0	21
0	87
14	24
0	112
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	32
0	1116
0	0
0	0
0	0
0	0
113	374
0	33
0	9
0	185
0	95
24	887
2	27
7	344
0	357
0	23
0	0
0	0
0	0
3	8
0	0
0	12
0	539
0	301
0	19
0	1
0	0
0	13
0	0
90	8
11	237
1	229
0	28
0	36
3	174
0	1317
2	0
0	112
0	1
0	1
0	1
0	112
0	1
0	0
0	76
0	74
0	77
5	3
0	45
1	66
0	75
0	3
0	2
0	57
6	369
8	144
1	45
0	189
0	0
0	1
0	45
0	189
0	0
0	0
0	8
0	5
10	62
2	12
0	12
0	13
0	4
1	10
0	9
0	5
0	9
0	5
0	5
0	46
0	4
16	13
0	17
1	6
0	7
0	3
0	4
0	6
0	18
3	2
3	4
1	3
0	8
0	0
0	17
0	0
1	1233
0	0
242	242
19	258
0	88
5	32
0	25
0	24
1	55
0	18
0	278
0	0
0	0
0	0
0	0
0	278
0	0
0	0
1	236
0	0
0	0
0	66
0	180
0	305
0	0
0	1665
0	15
1	229
0	383
0	325
12	160
3	71
0	320
1	10
1	11
11	14
2	20
0	234
0	0
0	0
0	0
0	0
1	0
0	0
0	88
0	0
3	1
6	63
0	1706
0	1
2	8
0	0
4	384
0	1
0	2
4	439
0	17
0	62
7	570
7	0
0	0
0	87
14	16
1	16
0	0
0	0
0	0
0	0
1	0
7	448
0	263
0	23
7	263
2	6
0	14
6	53
0	25
0	0
0	0
0	0
0	0
0	0
0	0
12	558
2	0
0	6
0	0
62	311
0	62
0	0
1	62
0	18
0	0
0	0
0	0
0	0
0	0
0	0
1	150
0	1
0	0
0	0
0	0
0	0
0	120
0	0
0	0
0	0
0	0
0	74
0	0
0	0
0	9
0	0
1	24
0	24
0	5
0	5
0	0
0	0
8	0
0	0
3	1
1	18
0	18
7	4447
96	68
2	68
0	76
6	237
0	1
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
18	0
0	0
1	0
0	736
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	207
0	18
0	10
135	1411
4	12
0	49
13	5837
0	73
0	0
