UniqueCount	AmbigCount
20	211
137	88
0	469
0	461
1	460
4	20
0	99
1	99
0	0
0	0
0	0
17	443
0	443
7	273
0	157
0	116
0	0
0	0
0	0
0	0
0	0
0	0
45	445
0	445
0	414
7	438
100	0
9	243
1	243
4	0
0	20
3	150
0	181
0	180
1	181
0	181
0	179
0	179
28	2
18	209
1	13
0	18
5	69
0	9
1	10
0	10
0	16
0	58
116	464
0	92
5	33
3	356
0	0
0	407
0	407
0	0
0	0
0	0
0	0
0	0
0	0
147	220
2	335
0	335
3	71
0	321
0	197
1	0
1	0
0	17
10	542
0	107
0	107
18	0
8	86
0	264
0	264
3	34
0	34
0	0
0	0
67	75
0	63
0	63
0	0
0	10
0	18
0	0
0	9
0	9
0	0
0	0
0	11
0	0
0	24
0	24
9	0
0	18
1	18
2	164
0	164
0	167
0	1
0	1
0	0
0	0
0	0
0	0
6	60
0	0
0	0
5	814
0	814
0	0
0	0
0	0
0	0
2	25
5	32
0	0
0	0
7	13
0	15
0	63
0	62
1	61
85	5582
6	212
0	212
0	5538
0	4271
0	0
61	62
61	627
0	666
0	1139
0	1082
70	0
21	11
1	11
0	0
0	0
0	0
1	7
0	304
1	304
0	7
8	214
439	23
154	1
0	54
0	56
0	56
0	56
0	56
0	56
4	55
0	56
0	13
0	0
0	13
100	36
0	189
0	189
0	189
0	173
6965	0
1	0
1	0
0	0
0	0
0	0
0	0
0	63
1	66
5	67
0	379
1	379
0	64
0	63
0	63
0	82
0	82
34	0
932	4
590	47
0	0
0	0
246	0
22	0
4	2064
0	2605
5	2554
2	2554
10	141
0	141
0	1007
14	1050
0	1012
0	1020
1	983
0	1
0	1
2	102
1	102
2	11
0	11
0	6
0	6
13	55
0	18
0	7
0	18
0	18
0	20
8	77
13	0
0	0
2	0
1	0
0	1
6	1
155	0
1	0
5	171
3	0
4	46
218	141
3	131
4	0
0	0
114	0
6	8
102	1
21	0
0	43
0	115
0	262
0	266
0	78
2	62
0	62
1	62
0	80
45	80
0	79
3	113
0	45
0	44
2	152
1744	152
13	57
3	57
4	25
15	270
0	15
0	12
0	0
2	0
963	0
0	1
0	0
0	1
0	41
5	119
0	273
0	271
0	269
0	209
0	27
0	28
0	28
0	28
3	25
0	15
254	15
3	0
1	4
21	1
2	172
0	218
1	200
0	294
1	167
0	0
0	2
0	3
0	3
3	137
0	137
878	0
0	319
0	313
0	313
32	0
36	89
0	0
0	0
0	0
0	0
0	0
2	0
0	0
23	0
112	0
3	61
0	61
0	174
2	175
207	0
2	27
0	27
0	0
0	0
0	306
0	306
0	68
1	32
0	64
1285	0
8	22
0	3479
0	3473
7	37
0	3489
18	11
12	3539
11	84
0	84
1	84
4	11
13	36
2	197
0	192
3	15
0	0
0	0
0	0
57	0
2	0
109	0
0	0
1	0
849	0
281	0
2	66
3	66
0	64
0	65
0	63
79	324
0	157
0	241
0	181
0	22
0	166
0	164
0	258
0	280
0	280
0	0
13	0
5	18
0	18
4	0
2	92
14	207
3	29
0	146
0	143
4	60
0	181
0	181
1	510
1	510
0	505
0	505
0	66
0	64
3	64
1230	27
1	0
0	31
0	31
0	31
0	31
1	1
0	8
0	8
1	25
0	18
0	18
3	17
106	17
1	0
0	208
0	208
0	201
0	193
120	0
0	20
1	20
3	30
55	128
2	126
0	128
0	0
0	0
0	23
0	23
1	3
0	24
0	21
0	21
0	4
0	20
0	3
0	0
0	0
0	2
0	2
0	85
0	85
0	85
0	85
170	0
1	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	2
0	99
87	20
0	2
0	0
0	5
0	5
0	0
88	0
0	31
4	33
0	39
1	61
59	57
1458	69
1	22
0	22
0	0
0	0
0	0
0	15
0	15
61	868
1	570
24	570
0	565
0	0
146	66
0	281
0	312
10	246
1	5
1	5
28	116
936	27
0	0
3	14
122	0
0	8
0	8
0	4
0	8
0	8
0	8
1	108
0	108
0	2
0	3
0	3
0	1
0	1
56	12
1	12
206	0
3	0
0	0
1	0
0	176
0	167
1	175
0	48
0	48
1	48
0	50
0	126
0	130
0	144
0	94
0	635
0	631
0	631
0	286
47	289
0	289
0	270
0	284
8392	5
44	1558
0	308
0	95
0	1536
6	133
2	137
2	147
0	147
0	0
0	8
0	8
41	0
0	103
1	103
1	103
0	1307
52	1308
0	1293
0	0
0	0
0	0
8	113
0	1
0	0
0	1
0	28
0	25
0	25
0	25
0	28
14	0
0	51
165	51
0	0
0	0
0	0
0	0
0	0
0	9
0	0
3	114
0	114
0	4
154	5
3	364
0	346
0	341
0	330
0	92
0	83
0	85
0	225
0	223
0	222
0	203
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	226
0	226
17	198
17	234
0	166
0	212
0	237
3	231
210	427
0	0
9	12
482	0
439	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	6
597	0
0	6
0	9
0	13
0	15
0	17
14	18
0	32
0	32
0	32
0	17
7	0
10	1
0	0
1358	280
3	74
0	74
0	42
0	56
0	56
0	0
19	1
0	0
0	14
0	14
0	0
0	0
0	0
0	0
0	89
0	121
159	132
0	88
0	120
13	0
0	18
14	27
0	191
1	220
0	389
5	386
4	86
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	81
0	81
0	81
0	81
0	72
0	72
0	17
12	37
1	133
0	133
0	134
0	19
32	25
6	0
3	1021
10	77
0	1
2	1
85	158
1	158
0	145
0	91
0	91
8	91
0	97
0	98
1	8
0	98
0	98
2	91
0	91
0	94
0	93
0	18
0	1
0	1
5	0
2	16
0	2
0	0
75	0
1	508
0	503
0	440
0	12
2	390
1	390
263	0
28	130
0	0
0	73
0	215
1	143
0	271
2	271
0	227
7	111
0	0
0	5
0	5
64	5
0	143
0	143
0	143
0	143
0	143
0	8
14	19
72	19
0	0
208	0
2	4
27	32
0	32
0	115
0	116
0	111
0	104
0	13
0	114
8	0
0	0
0	0
0	0
0	0
0	0
1856	0
0	0
50	0
368	0
3	7
26	7
0	26
0	26
0	26
0	0
0	0
2	0
0	0
117	11
28	11
0	0
191	61
0	0
2	0
0	0
0	0
5	724
0	724
0	721
0	724
25	27
30	83
21	0
155	0
0	86
0	86
3	194
0	196
0	162
0	160
0	13
6	10
0	8
20	20
0	1
0	1
0	0
4	27
49	27
6	32
3	11
7	49
0	49
2	0
0	0
0	0
0	0
0	0
0	0
0	0
17	12
0	5
100	209
0	89
0	89
0	87
0	71
2	0
40	120
0	146
1	132
0	136
0	135
2	23
220	23
0	1
0	1
0	1
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
0	50
0	50
2	50
0	50
3	22
0	6
0	6
0	6
0	6
0	6
0	0
0	6
64	6
1	100
24	145
0	1477
1	1471
0	1471
0	233
0	0
23	12
1	0
82	0
0	0
0	0
3	6
1	6
1	0
1	0
0	0
0	0
1	6
6	6
1	166
0	166
260	0
5	5
2	17
5	25
0	45
1	41
4	85
0	33
24	35
0	259
73	243
76	233
226	0
9	103
19	120
7	415
0	408
0	0
333	92
0	0
1	0
0	0
20	1
0	9
0	9
0	5
0	5
42	1276
2	0
0	0
3	11
3	125
13	139
5	132
0	142
3	94
5	0
0	8
466	477
0	1
5	0
4	81
0	81
0	68
0	0
100	0
593	0
2	43
0	43
0	970
6	970
1	27
1	27
3	183
168	183
242	160
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
83	0
0	24
0	24
0	28
200	32
16	9
0	77
0	128
0	125
17	0
0	0
36	0
3	23
17	79
409	478
39	205
0	205
34	883
4	867
0	852
0	2
0	1
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	12
0	12
106	0
0	0
0	0
0	0
3	0
0	3
0	3
0	0
1	0
0	149
21	148
5	25
10	880
8	880
14	12
0	89
2	89
0	89
84	0
9	47
6	106
36	106
0	0
0	3
0	3
0	10
0	10
0	218
0	218
0	217
134	0
14	0
432	0
79	0
0	5
0	5
1	2
39	0
0	38448
0	34579
0	35000
0	38961
0	38869
0	37928
0	34056
0	37926
0	33482
2	33992
3	34821
0	34968
0	35389
0	65
1	65
0	65
0	61
0	0
1	35
0	35
0	19
1	19
0	6
22	6
3	1
0	0
0	0
0	0
0	73
0	73
0	2
0	2
2	0
0	0
0	0
0	7
0	141
1	139
2	0
22	346
0	0
0	113
0	113
2	3
0	3
0	0
5	0
38	17
0	15
25	0
0	491
0	497
0	496
0	492
0	491
2	124
3	124
0	0
0	0
0	0
8	0
21	0
0	0
0	0
0	0
413	812
0	224
0	417
0	317
1	279
8	10
71	1016
3	3623
0	3510
0	3915
0	100
9	109
8	23
6	247
0	142
2	140
0	123
0	0
0	17
0	115
0	115
0	100
4	67
1	147
0	147
0	147
0	83
0	83
0	0
18	211
0	211
50	43
0	18
0	18
0	0
4	13
16	0
0	38
0	282
0	35
7	28
0	257
2	572
1	0
0	158
2220	158
0	0
0	0
67	12
0	12
8	8
35	101
2	101
42	101
0	250
0	455
0	246
1	244
0	247
0	439
0	0
2	323
0	323
0	323
1	11
9	11
285	2
2	26
0	26
0	41
3	41
1	41
1	12
0	1
0	2
0	11
0	11
0	0
374	0
5	0
0	0
4	4
118	27
210	0
450	0
65	0
0	187
39	375
0	308
2	201
0	450
0	421
8	0
24	130
0	10
0	10
0	10
0	10
3	0
0	0
2	0
0	74
0	74
0	0
225	1
42	21
45	23
29	2
0	125
0	125
0	66
0	71
0	71
8	493
2	15
0	15
3	0
0	10
0	10
1	10
3	0
58	0
2	42
0	42
67	0
1	257
0	12
0	560
0	560
0	560
1151	0
0	0
0	38
0	38
0	35
1192	0
0	0
0	0
0	0
0	0
4	446
0	446
7	4
0	12
0	27
0	23
0	23
0	0
0	81
0	80
0	81
0	80
0	80
0	80
0	77
10	95
45	12
0	44
0	44
0	44
0	0
269	159
309	0
6	183
7	159
3	9
0	0
4	142
4800	142
0	0
0	0
0	12
0	12
0	0
0	0
0	0
88	0
5	1
6	0
0	2
0	2
0	9
0	6
0	9
0	9
9	123
0	355
3	351
0	355
0	330
1	180
5	4
0	4
0	68
2	68
0	63
1	203
1	203
0	202
264	0
0	11
