UniqueCount	AmbigCount
0	0
0	0
7	0
0	0
0	32
1	0
1	1
2	0
0	0
0	576
0	10
0	331
12	1447
15	1186
2437	5111
0	1001
2	1465
0	683
0	483
4	1507
0	854
242	2680
93	15745
114	15589
32	643
0	0
0	1916
20	2292
26	493
113	1850
82	686
0	243
0	2154
8	649
118	1304
2	5
1	178
0	0
0	0
0	0
0	0
6	519
0	820
14	5165
55	454
0	317
0	3544
0	4217
89	1351
0	916
14	29
3	136
4	25
0	63
0	180
42	52
2	224
0	0
0	98
0	3
0	1
0	2
0	2
0	1
0	1
0	1
1	1
0	3
0	0
0	0
0	0
0	0
0	780
3	5253
0	0
0	0
0	0
0	0
496	3065
0	512
0	94
0	2220
0	797
38	1733
2	261
4	2820
1	2816
0	668
0	0
0	0
0	0
3	142
0	0
0	98
1	1695
0	4973
1	18
0	0
14	0
0	23
0	0
1193	242
0	10
0	9
0	0
0	1
0	7
0	3123
0	0
0	1305
0	198
0	0
0	0
0	862
0	0
1	0
0	1231
0	1218
0	1236
11	32
0	972
13	1080
1	1233
5	70
2	175
8	1061
16	1462
38	1794
0	2
0	988
0	0
11	17
1	2
0	988
0	0
0	0
49	6
0	108
86	712
369	212
0	195
0	346
0	141
4	353
12	342
0	169
0	337
0	179
0	161
1	581
0	111
114	25
0	57
0	31
0	62
0	53
1	35
0	37
2	110
0	11
0	44
4	21
1	67
4	0
0	35
0	0
1	5753
0	0
286	1644
3	3414
0	3
2	19
0	8
0	5
0	9
0	5
0	2740
0	1
0	1
0	4
0	1
0	2740
0	1
0	1
7	1364
0	1
0	0
7	161
3	1810
0	4
0	0
3	6526
0	0
3	2851
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
2	0
0	0
0	379
0	0
0	1
6	59
2	7831
0	0
1	68
0	0
19	1649
0	0
0	2
36	3697
1	659
4	1037
228	9089
0	1
0	0
4	735
105	75
1	75
0	0
0	0
0	0
0	0
30	0
18	1916
2	1334
0	328
15	1336
21	105
8	54
60	123
0	97
0	0
0	0
0	0
0	0
0	0
0	0
1	55
0	0
0	41
0	0
14	1015
0	128
0	0
0	128
2	356
0	5
0	0
0	0
0	1
0	0
0	0
11	128
0	0
0	0
0	0
0	0
0	0
0	622
0	0
0	0
0	0
0	0
3	329
0	0
0	0
0	0
0	0
14	313
0	313
1	102
0	103
0	0
0	1
25	1
0	0
0	0
2	26
6	26
14	1478
6	8
0	8
0	9
76	37
0	1
31	82
1	1
0	6
0	81
0	4
0	6
0	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1400
0	0
0	2
151	1515
0	8
0	1
0	1
0	0
0	0
