UniqueCount	AmbigCount
108	1598
3942	1271
0	7007
16	6879
31	6775
29	804
158	2508
0	2508
0	0
0	0
0	0
954	4597
0	4597
88	3315
0	316
0	234
0	0
0	2
0	2
0	2
0	2
0	2
439	3217
6	3217
0	2845
13	3035
1812	0
0	7
0	7
1	0
2	458
29	897
0	1670
0	1670
17	1641
1	1643
1	1670
4	1670
9	0
59	692
161	159
0	323
28	828
0	305
2	310
0	312
2	342
2	752
3	1730
1	4
1	35
1	1726
1	1
0	696
0	696
0	1
0	1
0	1
0	1
0	0
0	0
1114	1410
0	5
0	5
0	0
0	5
0	5
0	0
0	0
7	726
249	5230
0	1472
7	1332
137	0
54	282
8	1441
31	1441
42	114
0	114
4	1
1	1
123	487
0	50
0	51
0	0
0	5
0	26
0	0
0	21
0	21
0	0
0	0
9	67
0	0
4	422
0	422
12	0
24	90
5	90
1	15
0	15
2	16
64	39
0	39
12	3
0	0
0	0
0	1
99	1082
1	0
0	0
12	2965
4	2965
0	0
0	0
0	0
1	0
37	9
21	33
0	0
12	0
8	57
16	76
0	365
1	359
5	355
18	1968
7	442
0	442
0	1940
6	1921
1	0
9	61
37	602
3	155
2	390
0	357
3286	0
2235	1589
42	1589
1	0
0	3
1	0
0	984
5	953
67	947
0	1032
166	1057
3834	580
947	0
2	4917
0	5198
1	5187
0	5003
0	5159
0	5187
138	5070
0	4992
4	55
0	0
1	55
176	11
6	2799
0	2819
4	2790
3	1992
2745	0
1	0
65	7112
3	7112
0	7112
3	4288
1	3510
0	61
4	85
105	694
0	1255
33	1254
0	432
0	424
0	428
139	1856
15	1856
179	0
1486	21
1954	340
0	0
0	0
1487	0
48	0
10	4855
0	5979
4	5956
19	5956
493	1340
4	1340
0	2643
43	2726
2	2665
20	2709
14	2623
99	290
1	290
0	26
0	26
3	59
0	59
0	272
0	273
730	293
5	588
0	353
0	568
13	507
0	780
179	858
33	44
1	59
198	59
0	0
0	0
2	0
0	0
1	0
15	75
6	0
19	224
535	601
6	569
31	0
0	0
1149	0
58	91
2312	78
3	0
160	2071
0	6658
0	8669
0	8683
1	1929
2	338
0	338
2	338
0	1100
209	1101
3	1099
7	20
0	0
0	0
0	1
1	1
868	1048
46	1048
0	238
79	712
0	223
4	219
25	2
1	1
0	0
0	6568
96	1148
34	6581
100	10368
1278	28682
0	36041
46	35766
162	34250
1	19224
1	1256
25	1443
4	1443
11	1410
29	1148
0	23
584	23
1	0
44	180
2050	109
7	417
0	463
5	419
13	539
0	240
1	0
0	3
0	8
2	8
39	503
4	503
1862	0
0	3217
2	3090
0	3143
498	0
645	289
10	1
0	0
0	0
0	0
0	1
4	1
2	1
351	0
702	3
0	34
0	34
0	292
16	293
4	0
0	0
0	0
1	0
6	0
0	17089
6	17089
0	938
1	583
0	901
1639	0
417	707
5	8086
20	8012
306	917
0	8244
172	131
72	7657
291	9313
22	9340
22	9336
14	162
22	302
10	777
3	722
30	198
0	0
0	0
0	0
39	0
15	0
3861	0
0	0
0	0
186	1
3675	0
0	429
2	426
0	426
0	422
0	403
233	635
0	435
0	386
0	220
2	203
0	2786
0	2743
0	976
26	1197
0	1197
415	1368
10109	1368
829	8081
0	8081
6456	0
5	164
8	121
2	16
2	88
0	78
5	18
0	74
0	74
0	332
1	332
0	332
1	332
0	32
8	303
62	303
4611	70
22	0
0	3
0	3
0	3
0	3
1	7
1	3
0	3
1	13
0	10
0	10
65	383
422	383
0	0
28	4957
0	4993
0	4874
6	4733
128	0
3	297
23	297
78	451
403	725
6	1582
0	1611
1	0
0	0
0	31
0	32
13	7
0	36
0	27
0	27
0	8
0	24
0	5
0	0
0	0
1	0
0	0
1	2291
3	2288
18	2293
0	2296
0	0
43	28
0	13
0	13
0	0
0	0
0	0
0	0
0	0
0	0
157	74
4	568
185	541
0	0
0	0
0	17
0	17
0	0
1676	0
0	379
34	454
0	571
21	866
222	825
22091	142
0	0
0	0
0	0
0	0
0	0
0	3
0	3
295	2029
44	24217
1225	24217
30	23084
3	0
323	269
4	510
0	641
2	372
0	5
0	5
50	363
250	9
1	0
8	3
1747	0
0	10
0	11
0	1
0	10
0	10
0	9
6	349
0	349
0	1
0	1
0	1
0	0
0	0
744	200
5	200
9	0
0	0
95	0
0	0
0	4340
7	4083
4	4013
0	1389
0	1389
4	1389
0	628
8	1496
2	1509
1	1603
0	869
0	1680
24	1650
4	1643
0	545
151	548
0	557
2	528
13	545
7	0
0	10
0	9
0	1
0	10
0	6
5	1543
12	1607
9	1604
1	0
2	47
1	47
0	0
1	1401
13	1401
19	1391
0	12
0	12
0	12
0	2
0	2
0	0
61	164
0	0
0	0
0	0
0	107
3	547
6	533
0	415
0	86
1	0
4	370
530	370
1	0
0	0
0	0
3	0
0	0
9	11
0	0
1	1314
0	1314
1	0
18	0
1	3756
0	3747
0	3712
0	3826
0	1214
0	990
0	1440
37	11505
11	11297
16	11199
0	8643
0	0
1	25
0	30
0	30
1	3
0	3
0	3
0	0
55	0
5	1702
0	1702
631	770
2179	11455
50	11098
3	13066
0	15068
90	14224
8474	15168
10	0
12	39
14948	0
13077	0
6	0
0	0
0	0
0	0
0	3
0	3
0	3
0	13
0	13
4924	0
5	63
0	96
4	223
2	240
0	261
80	264
0	329
1	326
0	328
0	261
5	0
132	4
0	0
30764	2976
68	978
1	978
30	1644
25	1883
16	1883
0	0
0	3
0	0
0	12
0	12
0	0
3	0
0	0
0	0
0	1510
0	1845
1247	1513
0	1652
0	1987
3	0
4	207
159	237
1	1427
2	1671
0	2708
15	2704
18	746
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	10342
0	9952
0	9914
0	10287
0	8447
0	8837
0	547
87	600
13	2065
14	2065
0	2061
0	566
387	429
0	0
12	2378
56	296
0	127
33	117
4075	5635
10	5635
6	4682
0	18
2	18
18	18
0	18
0	18
10	3
0	18
0	18
0	18
1	18
0	20
0	18
8	50
0	0
0	0
0	0
36	13
17	1
1	0
170	0
0	99
0	99
0	52
0	0
0	15
0	15
2555	0
29	78
0	0
5	1747
0	2547
189	11282
15	2702
9	2701
0	3008
43	8739
37	0
1	171
1	170
1500	170
25	1536
2	1538
4	1541
5	1534
12	1531
2	164
503	461
429	461
4	0
2	0
0	18
125	254
0	254
0	541
0	537
0	508
0	456
3	89
0	537
1	0
1	0
1	0
0	0
0	0
0	0
325	0
0	0
268	0
6005	0
51	160
253	160
0	89
0	88
0	89
0	1
0	1
0	0
3	0
3	1
2	1
0	0
2192	4997
4	0
1	0
0	14
0	14
1	1914
0	1914
0	1912
1	1914
5	33
31	107
4	0
2249	0
15	2015
0	2015
23	1421
0	1422
0	1012
0	1005
5	165
7	1
0	1
30	18
0	2
0	2
1	0
39	488
554	488
49	114
185	121
37	315
1	313
151	0
0	0
0	0
0	0
1	5
0	5
0	0
9	16
24	418
262	1727
0	2544
4	2512
1	2481
13	1772
1	4
33	104
0	2332
12	2240
2	1790
0	1876
3	289
1704	290
0	0
0	0
0	0
0	0
3	0
0	0
0	4
1	4
0	0
0	0
0	2
0	2
0	2
1	0
0	0
0	0
0	19
0	19
0	0
0	0
10	58
0	9
0	9
0	9
0	9
0	9
1	1
0	491
1853	491
6	537
33	620
0	2216
2	2174
0	2227
9	524
0	0
45	42
0	0
1499	0
0	7
0	7
11	127
74	127
0	0
2	0
0	0
0	0
23	111
19	169
17	1488
0	1488
50	0
0	10
11	841
44	998
12	1240
9	1044
43	287
0	1004
1644	894
0	2595
381	2537
137	2048
3380	0
182	1037
42	1121
7	2239
23	2189
3	0
3590	329
0	0
3	0
1	0
473	21
1	7
2	7
0	12
0	12
15	394
150	0
120	0
11	411
5	1801
39	1927
18	1833
0	2239
273	1996
48	0
3	3
6984	3108
519	407
29	181
0	5
0	5
0	5
1	0
2	0
2224	0
49	693
3	693
11	3575
51	3575
0	41
0	41
70	1518
777	1519
1609	1117
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
3	222
0	222
0	204
623	281
64	97
0	1809
7	2624
33	2494
247	0
0	0
0	0
2	42
0	76
103	557
1186	2689
10	2689
1	25
0	24
0	25
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	2
0	2
1	0
0	0
0	0
0	0
2	0
0	3
0	3
0	0
0	0
0	767
224	755
91	225
55	4331
48	4331
117	182
1	972
39	980
0	980
1928	0
49	2186
26	4833
573	4833
0	1
0	14
0	14
7	118
0	118
16	12751
25	12751
1	12447
1892	0
1	0
2487	0
218	0
0	7
0	7
1	2
2152	0
0	32
0	32
0	30
0	31
0	30
0	32
0	32
0	32
0	31
0	33
0	31
0	32
0	30
0	1068
0	1068
0	1068
1	805
0	0
0	26
2	26
37	8495
2	8495
9	245
340	245
20	9
0	1
0	1
0	1
14	6478
12	6478
2	67
2	67
1	0
0	0
27	0
26	379
0	2575
6	2492
