UniqueCount	AmbigCount
90	1842
4048	1495
0	7012
21	6903
37	6761
41	953
181	2845
1	2845
0	0
0	0
0	0
782	3897
0	3897
81	2763
0	319
2	216
1	0
1	2
0	1
0	2
0	1
0	1
368	2709
3	2709
1	2354
7	2564
1128	0
0	18
0	18
0	0
0	368
13	934
0	791
0	788
10	785
2	782
2	789
2	789
18	1
42	658
138	134
0	240
15	587
0	225
3	229
0	232
0	271
0	526
1	1275
0	0
11	35
3	1276
0	4
0	564
0	564
0	4
0	4
0	4
0	4
0	0
0	0
1436	1359
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	774
232	5662
0	1560
5	1423
139	0
64	294
5	1346
30	1346
55	207
0	207
0	0
0	0
84	345
0	61
0	61
0	0
0	3
0	24
0	0
0	21
0	21
0	0
0	0
9	58
0	0
5	554
1	554
35	0
4	72
3	72
0	6
0	6
3	17
32	13
0	13
1	1
0	0
0	0
0	0
51	978
0	0
0	0
19	3307
4	3307
0	0
0	0
0	0
1	0
23	6
9	20
0	0
16	0
6	45
20	61
0	266
3	259
0	256
10	1791
6	451
0	451
0	1769
1	1746
0	0
4	68
51	603
0	147
1	310
0	286
2648	0
2735	1819
71	1819
0	0
0	0
0	0
0	437
4	684
41	683
0	463
200	1418
6129	954
603	0
2	3770
0	4004
6	3999
0	3852
0	3993
0	3999
113	3898
0	3847
3	24
0	0
0	24
176	6
6	2048
0	2071
1	2057
0	1437
3390	0
5	0
56	6923
0	6923
0	6923
3	4102
0	3387
0	60
1	78
69	529
0	1129
19	1122
0	332
0	325
0	323
99	1644
12	1644
98	0
1210	11
1806	212
0	0
0	0
1436	0
72	0
13	4051
0	5027
6	5007
15	5007
594	1515
2	1515
0	1962
26	2018
0	1981
12	2006
4	1952
428	1386
1	1386
0	19
1	19
2	27
0	27
3	1126
0	1127
3222	1037
7	1307
0	748
0	1272
7	1116
0	1853
388	1923
48	182
1	265
800	265
0	0
0	0
0	0
0	0
0	0
27	91
5	0
6	218
656	675
1	648
22	1
0	1
874	0
49	90
2606	84
0	0
130	2200
0	7482
0	9594
0	9620
2	2003
5	333
0	333
4	333
0	712
136	714
0	712
2	14
0	0
0	0
0	0
9	0
601	665
45	665
0	79
68	684
0	76
3	84
15	0
1	0
0	0
0	5654
97	983
21	5663
106	14744
2150	41070
0	50957
86	50524
287	48506
3	27324
0	1244
25	1443
5	1443
10	1416
44	1127
0	25
523	25
0	0
12	176
2107	105
1	221
0	242
7	220
8	325
2	122
0	0
0	1
0	1
1	1
58	644
0	644
1447	0
0	2886
0	2756
0	2821
285	0
263	189
10	4
3	4
0	0
0	0
0	0
8	0
0	0
403	0
506	1
0	58
0	58
0	361
30	363
5	0
0	1
1	1
0	0
1	0
0	18083
3	18083
0	1165
3	754
0	1106
1552	0
283	568
4	7976
27	7876
309	1026
0	8188
228	210
56	7533
254	7561
14	7576
8	7574
8	105
20	203
7	517
2	486
17	104
0	0
0	0
0	0
16	0
1	0
2314	0
0	0
1	0
129	1
3697	0
0	295
4	294
0	293
0	295
0	284
223	612
0	491
3	341
0	136
0	334
0	2957
0	2877
0	1310
22	1633
0	1633
302	1417
10860	1417
1397	13369
0	13369
27102	0
1	167
11	121
4	11
2	90
0	88
0	0
0	22
0	22
0	231
0	231
0	231
0	231
0	14
9	297
62	297
4114	76
9	0
0	0
0	0
0	0
0	0
1	1
0	1
0	1
1	5
0	4
0	4
70	279
307	279
0	0
19	4641
0	4666
3	4580
0	4406
181	0
1	359
30	359
73	529
379	784
11	1734
0	1802
0	0
0	0
1	55
0	55
14	14
0	60
0	51
0	51
0	5
0	48
0	2
0	0
0	5
0	5
0	0
0	2347
1	2345
18	2350
1	2352
5	0
71	28
0	19
0	19
0	0
0	0
0	0
0	0
0	0
0	0
117	82
5	460
150	441
0	0
0	0
0	17
0	17
0	0
1398	0
0	385
18	467
0	555
18	854
162	828
19087	162
0	0
0	0
0	0
0	0
0	0
0	0
0	0
269	1706
47	28408
1303	28408
23	27048
0	0
303	255
2	1021
0	1166
2	913
0	1
0	1
125	330
257	12
0	0
6	3
1689	0
0	11
0	11
0	0
0	11
0	11
0	11
5	188
1	188
0	3
0	3
0	3
0	0
0	0
622	186
3	186
15	0
0	0
81	0
11	0
0	3870
10	3605
4	3581
1	1157
3	1160
7	1159
0	293
8	813
0	819
1	860
0	512
0	1253
16	1226
6	1223
0	226
69	224
0	228
0	217
3	226
2	0
0	4
0	0
0	0
0	4
0	0
3	1157
5	1192
5	1188
0	0
6	95
0	95
0	0
0	1202
8	1202
7	1191
0	3
0	3
0	3
0	0
0	0
0	0
44	127
0	2
0	1
0	1
0	49
4	264
4	258
0	203
0	39
10	0
9	256
437	256
1	0
0	0
0	0
0	0
0	0
32	4
0	0
1	1224
4	1224
4	0
18	1
1	3173
0	3172
0	3143
0	3256
0	971
0	828
0	1177
59	14898
16	14644
15	14525
0	11004
0	0
0	2
0	3
0	3
0	0
0	0
0	0
0	0
12	0
19	1801
6	1801
691	827
1981	11213
55	10893
34	12793
0	14647
117	13877
7608	14735
2	0
24	43
15779	0
12329	0
26	0
0	3
0	4
0	3
0	2
0	4
0	3
0	26
0	26
4878	0
10	39
2	63
0	121
2	129
0	137
28	137
0	182
0	177
0	180
1	137
0	0
74	10
0	0
29084	2832
49	837
0	837
16	1229
22	1406
5	1406
0	0
1	2
0	0
0	14
0	14
0	0
0	0
0	0
0	0
0	1921
0	2378
910	1875
0	2085
0	2542
1	0
4	168
130	192
3	1055
2	1249
0	2030
14	2034
31	554
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	11596
0	11161
0	11083
0	11510
0	9338
0	9773
0	352
91	431
9	1423
1	1423
0	1419
0	338
210	268
0	0
11	2185
67	244
0	69
16	62
2815	3866
7	3866
3	3191
0	29
8	29
14	29
0	30
0	31
13	13
0	37
0	37
0	29
0	29
0	29
0	25
17	39
0	0
0	0
0	0
23	8
8	1
0	0
354	0
2	110
0	110
0	68
0	0
0	10
0	10
2186	0
34	69
0	0
3	2025
0	2840
191	11900
7	3002
6	3002
0	3377
49	8983
39	0
0	75
0	75
558	70
14	2011
3	2013
7	2017
2	2010
6	2007
0	219
497	605
641	605
0	0
0	0
0	15
34	71
0	71
0	706
1	706
1	659
0	605
0	105
0	703
0	0
0	0
0	0
0	0
0	0
0	0
173	0
0	0
176	0
5040	0
49	108
202	108
0	77
0	77
0	77
0	0
0	0
0	0
0	0
1	0
0	0
0	0
2023	4689
10	0
0	0
0	6
0	6
0	2079
0	2079
0	2077
0	2079
0	24
24	62
0	0
1846	0
6	1347
0	1347
23	1033
0	1033
0	768
0	762
1	124
3	1
0	0
18	19
0	0
0	0
8	0
49	481
476	481
45	98
198	105
23	290
1	290
27	0
0	0
0	0
0	0
0	19
0	19
0	0
10	22
21	281
177	1035
0	1462
5	1452
1	1428
6	995
0	1
43	85
0	1929
8	1845
1	1521
0	1558
2	297
1727	298
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
1	0
0	0
0	0
0	0
0	0
0	1
0	1
1	1
0	11
0	11
0	0
0	0
15	56
1	6
0	6
0	6
0	6
0	4
1	0
0	330
1402	330
13	402
24	460
0	1885
0	1844
0	1894
2	449
0	0
64	56
0	0
1223	0
0	4
0	4
3	80
52	80
0	0
1	1
0	0
0	0
17	83
12	119
7	1326
2	1326
9	0
2	0
7	452
28	509
15	622
13	490
59	265
0	885
977	777
0	2075
356	2024
116	1588
2380	0
116	766
67	827
5	1696
8	1658
2	0
3640	313
0	0
2	0
0	0
327	11
0	0
0	0
0	0
0	0
3	302
172	0
520	0
5	375
4	1776
50	1907
8	1817
1	2117
175	1743
70	0
1	2
8993	3741
258	332
12	88
0	3
0	3
0	3
0	0
0	0
2029	0
95	1061
0	1061
13	3768
50	3768
0	19
0	19
55	981
558	981
1455	684
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
1	219
0	219
0	94
309	127
39	51
1	1604
13	2380
20	2266
187	0
0	0
0	0
7	31
1	46
66	464
1230	2671
9	2671
0	38
1	38
0	35
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
3	1
0	1
0	1
0	0
0	2
0	2
0	1
11	0
0	0
0	0
0	0
0	0
0	517
136	510
26	153
72	5026
41	5026
52	142
4	924
31	926
0	926
1866	0
59	1386
17	2972
251	2972
0	4
1	13
0	13
10	179
0	179
20	18152
33	18152
0	17692
1997	0
0	0
2586	0
174	0
0	12
0	12
0	8
1113	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	718
1	718
0	718
0	530
0	0
1	89
4	89
26	7366
0	7366
6	145
205	145
35	9
0	2
0	2
0	2
2	4020
3	4020
2	102
1	102
1	0
0	0
33	0
32	423
0	2692
6	2598
19	0
96	3221
0	0
18	955
0	955
79	287
0	287
13	143
1	0
1	1
0	1
8	0
2	2257
0	2316
3	2271
3	2261
1	2257
18	970
16	970
0	11
0	11
0	11
0	0
0	0
0	0
0	0
0	0
1464	11562
3	8304
0	9789
0	1523
7	1368
2	6
122	3607
40	7199
0	6864
0	8532
0	836
118	769
83	1021
78	2073
0	2526
12	2244
1	1769
1	0
16	1135
0	5452
0	5382
0	4442
73	451
23	1706
0	1694
0	1697
0	0
0	0
0	0
5191	24548
10	24548
180	56
0	91
2	95
7	0
4	2
1093	0
0	946
1	2217
1	944
150	918
6	1479
45	703
0	0
0	3
557	3
0	0
0	0
3105	810
6	810
6	502
54	626
13	624
191	626
0	2026
2	1857
9	1928
4	1747
5	1781
0	1294
0	0
2	612
0	613
0	613
0	3
6	3
8	0
14	22
0	22
0	64
0	64
0	64
12	21
2	2
2	2
0	16
0	16
0	0
2247	0
1	0
0	0
88	822
3610	1858
2299	0
1850	0
98	0
0	1374
188	2600
10	2690
7	1149
0	2933
38	2675
14	0
83	876
0	555
0	521
0	564
0	530
8	0
15	0
1	0
5	1103
4	1103
2	0
55	3
1061	689
231	694
2	0
0	162
1	162
6	2350
0	2487
7	2402
80	2329
2	343
6	343
6	0
0	25617
5	23556
51	24831
51	10
0	0
18	324
1	324
273	0
13	517
1	205
0	318
0	324
0	322
11	0
0	0
0	6
0	6
0	1
1361	0
0	1
0	1
0	1
0	0
38	804
0	804
7686	2530
0	2703
0	2642
30	2279
0	2568
11	0
0	15
0	15
0	15
0	15
0	15
0	15
0	14
60	262
1634	103
0	24
0	24
0	24
0	0
1876	317
2634	0
4	13
0	0
10	11
0	0
0	0
0	2
0	0
0	0
0	3
0	3
0	0
0	0
7	0
0	0
15	16
4	0
0	0
0	0
0	18
0	15
0	18
1	18
3	102
2	15
0	0
0	0
0	0
0	0
0	10
0	10
0	638
4	636
0	560
5	1560
4	1563
0	1557
647	0
0	56
0	56
131	12441
20	12441
0	1652
0	1709
20	1671
9	1698
16	1693
48	0
0	93
227	68
4	10
0	32
0	22
4586	7955
1	7955
105	1530
2012	1530
1236	614
83	3413
14	3413
2195	7908
37	7556
2546	8080
470	1244
5044	8670
61	1695
0	6164
194	1356
0	1356
35	1132
273	2082
49	2300
0	4741
30	4515
14	4754
39	4754
0	867
29	867
16	114
1225	5
0	0
3	11
0	96
0	93
0	96
9195	110
0	0
0	0
0	0
34	203
0	0
0	0
0	0
0	0
739	469
2	336
225	16178
77	16154
89	2421
5941	2513
0	0
7	0
0	0
0	0
0	0
0	0
0	0
0	0
53	6
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	14
0	10
0	17
0	17
0	0
0	0
0	0
245	0
0	0
3	412
12	434
1	881
231	881
3	255
1	250
0	257
2	256
3	0
9	26
0	0
1	1
25	1829
14	1829
685	863
83	0
0	0
0	0
70	198
7	265
1279	265
316	0
0	36
0	43
0	43
25	348
2803	3
4219	0
2	0
0	249
24	337
8	305
0	687
0	675
30	326
0	660
2799	0
2122	3
5	1
2368	0
7	1
10	2477
0	2477
3	3
387	648
3	648
0	35
0	35
0	35
469	3409
10	3409
0	0
416	1377
1	1377
0	0
0	0
0	0
11	0
4	0
0	599
0	475
0	1078
3	945
7	111
0	677
2	669
1	672
0	677
0	0
0	0
984	1
4	0
389	1403
0	0
2	1389
1	1275
1	394
1	0
2	0
31	1824
1	1824
0	3458
44	4009
795	4009
6	794
0	15
0	15
0	0
0	0
17	0
47	526
5	860
0	860
1	848
0	6
0	6
0	6
0	0
0	0
7	0
0	0
0	0
0	0
0	0
0	6
0	6
0	6
0	2
0	0
0	2937
0	686
0	2941
0	2969
0	2646
0	2478
13	656
38	2579
0	201
0	0
5	6
121	1771
0	0
0	0
621	5122
153	687
0	2223
0	2161
3	2085
11	1272
1	1295
14	1295
0	43
0	142
0	109
314	53
7	50
0	50
0	50
19	244
0	0
0	0
0	0
0	0
3	88
427	98
5	58
2	1079
0	1069
2	1070
0	1070
40	110
0	109
0	109
0	0
0	0
1	9
0	9
6	5
50	5
0	0
0	0
2	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1027
2	774
856	1013
0	138
0	138
0	138
10	1
1	15
0	15
0	15
0	15
0	15
2	0
0	0
0	0
0	20
0	20
3251	366
161	0
2	0
0	7
0	1
0	1
0	1
0	1660
1	1443
10	1604
154	935
2169	3673
64	263
1	3410
0	0
0	0
7	2
0	6
0	6
0	6
0	0
3	3838
12	3902
26	1889
81	1944
47	505
0	381
15308	0
638	2
20	7403
0	25
0	25
0	25
0	22
0	25
0	0
0	0
0	0
1	0
0	0
7	301
15666	1
0	14
0	9
0	9
5	12
8	141
0	949
0	858
1	874
36	411
23	2126
0	2134
3	2069
0	35
0	96
16	99
0	0
0	1
0	1
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
3592	0
1	0
141	0
2105	4
0	239
1	239
1	239
0	0
0	1
0	1
0	1
0	1
1	0
0	0
0	0
1	1
296	5181
4	2109
0	2944
735	2944
0	1554
533	0
0	4
0	4
4	9
3	10
0	10
0	10
0	4
0	2
0	2
0	2
3	2
20	137
0	0
0	0
2521	431
16	510
6	479
25	3863
6	3863
17	1
0	0
0	5
18	4
190	71
24	721
114	0
64	902
0	902
412	63
1	810
0	51
0	49
0	26
4	19
2	0
1149	0
0	0
0	0
21	0
0	6519
17	6471
12	6456
23	2526
70	6063
37	6064
0	0
31	2900
2316	534
87	444
4	2175
0	2196
0	2201
0	2147
0	0
90	4574
0	562
1	549
2	532
1	548
0	457
0	425
0	468
5	470
0	709
48	702
4	691
0	23
0	23
0	23
0	1
0	0
0	0
0	0
1475	0
6	1419
2001	1419
4969	23
1	590
2	633
6	633
35	399
0	5
0	5
0	0
0	23
0	22
0	22
0	23
0	23
0	84
0	84
0	80
1483	0
0	0
0	0
22	2368
5	2368
0	558
41	719
116	724
876	1313
13	1278
36	738
3	2
0	1935
39	1915
1	1883
7	331
0	0
16	52
9	9
1	0
1953	0
8	94
1	0
0	0
1	1
0	1
27	0
1	75
2	75
5	0
0	0
0	6
0	6
0	0
0	0
0	0
0	1403
1	1430
33	130
0	279
24	306
14	157
1	157
45	366
1	366
0	0
1	0
0	638
4	652
3	621
0	607
61	339
0	339
17	241
29	1452
0	0
16	5
0	5
165	53
12	53
0	34
0	35
0	0
0	0
0	0
740	614
23	638
0	0
0	14
711	3233
65	6630
0	5807
5	5809
116	6106
0	6
0	6
0	6
0	0
24	72
6	0
221	3152
57	3389
50	4813
4526	35
482	801
21	774
39	640
2111	0
0	11
0	11
1	0
62	338
1	338
0	2082
0	2505
13	954
0	498
11	1795
147	103
1	0
23201	0
8	1
0	1
0	1
25	10
932	4
160	89
1	88
7640	2921
269	2921
252	2315
64	6034
11120	18111
5925	12077
4728	0
0	133
34	160
0	27
1	42
0	58
0	32
7	0
0	104
0	104
0	0
74	0
0	372
8	358
0	339
43	369
1	369
0	112
19	820
0	836
1	657
19	207
5	242
75	223
