GeneID	GSM1206234	GSM1206235	GSM1206236	GSM1206237	GSM1206238	GSM1206239	GSM1206240	GSM1206241	GSM1206242	GSM1206243
100287102	37	25	26	24	23	26	39	17	24	14
653635	1977	2313	2566	2575	1524	2552	2746	2212	2053	1372
102466751	47	58	69	62	46	52	65	49	80	37
107985730	19	11	10	11	6	17	16	11	5	4
100302278	6	1	4	2	2	3	5	2	2	1
645520	13	2	12	4	7	2	12	2	8	3
79501	0	0	1	0	1	0	2	0	2	0
100996442	332	408	293	434	204	441	367	353	208	197
729737	921	450	1105	443	686	489	1234	403	1473	390
102725121	58	42	39	34	28	45	64	30	34	14
102723897	1823	2515	2266	2640	1460	2650	2650	2211	2138	1525
102465909	61	62	77	71	47	63	86	47	52	33
107985721	26	35	16	33	10	27	20	32	8	18
112268260	167	208	166	223	117	216	228	193	112	128
729759	2	1	2	2	2	2	4	1	1	0
100132287	1114	565	1190	609	814	602	1299	510	1579	445
105378947	13	23	15	25	11	24	22	16	15	8
101928626	0	3	0	0	0	1	1	3	1	1
113219467	7254	6174	5461	5945	4152	5595	8390	4318	10338	12354
81399	34	25	31	24	18	28	37	20	19	11
100133331	1090	546	1219	578	768	592	1254	480	1356	380
107984841	300	125	327	146	181	152	325	93	192	55
107984847	542	323	561	306	374	299	563	205	375	101
107984849	91	62	123	80	51	53	148	55	74	22
100288069	289	252	277	282	193	269	336	228	157	130
105378580	98	196	89	225	57	193	109	164	86	119
400728	35	54	31	63	24	57	34	45	33	31
79854	171	191	156	166	118	174	243	159	160	107
643837	1401	4421	1384	4569	910	4722	1759	3758	977	2279
107984850	2	94	3	109	1	119	5	91	2	43
284593	9	24	10	23	8	26	12	20	5	14
284600	326	19	331	28	246	27	328	14	257	10
100130417	401	41	447	18	302	30	508	34	544	25
107985728	297	20	395	35	266	22	360	17	439	12
148398	790	331	959	290	675	370	1123	327	1699	332
26155	8401	4798	9340	5204	6125	5106	10989	4492	8714	3108
339451	976	682	1417	662	909	631	1453	569	2032	570
84069	214	5	287	5	214	5	277	6	429	6
84808	102	9	109	6	80	6	106	8	150	6
57801	127	132	224	125	139	138	225	132	933	467
9636	184	274	307	260	237	270	330	257	641	313
375790	6229	3103	7795	3047	5325	3061	8470	2750	17534	3760
100288175	333	92	353	84	222	72	450	71	241	52
112267874	157	23	172	21	112	26	215	31	162	7
105378948	345	97	353	87	234	93	505	78	284	63
401934	119	1	129	1	71	2	153	0	147	0
54991	333	363	427	309	318	331	450	330	1156	507
254099	11	0	8	0	7	0	13	0	13	0
406984	0	0	0	0	0	0	1	0	4	0
406983	1	0	2	0	1	0	1	0	11	0
554210	3	0	1	0	1	0	0	0	4	0
100506376	4	2	4	3	4	6	6	1	2	0
254173	12	6	25	4	10	9	21	4	7	3
8784	163	39	250	40	181	36	238	37	563	59
7293	5	29	9	26	6	37	6	33	9	22
51150	7003	6119	9469	6736	5848	6354	9543	5568	9043	4414
126792	1267	934	1275	1017	963	970	1676	782	1430	714
388581	37	19	59	16	44	30	57	29	156	35
118424	2246	1515	2300	1612	1499	1538	2717	1360	2988	1540
101928895	111	508	139	477	100	582	127	397	162	309
6339	249	1086	317	941	251	1126	368	947	630	999
116983	2848	14885	3412	15400	2244	14764	3638	12954	5190	13161
102465434	4	9	5	11	1	7	5	6	2	5
109623456	24	268	21	290	21	285	28	202	25	163
126789	537	403	668	459	451	481	699	400	999	340
54973	4369	5642	5377	6090	3479	5826	5717	5062	5015	3648
102465435	1	13	2	9	3	8	3	8	17	22
80772	492	836	660	787	462	873	774	706	1352	990
83756	61	85	67	92	51	71	66	76	89	71
1855	1639	4142	2308	4005	1703	4080	2409	3746	5238	4734
102466740	1	1	0	1	0	4	1	2	6	5
54587	824	1082	919	1162	694	1209	1040	1042	1151	915
54998	2940	2879	3308	2841	2470	3027	4132	2698	3992	2331
81669	12659	11314	12955	11864	8539	12112	15899	9875	12108	7056
148413	2026	1377	2116	1506	1361	1518	2721	1217	1459	715
55052	3929	2973	3447	2950	2398	3063	4921	2606	2689	1642
107984868	15	148	9	148	8	145	12	165	7	106
441869	48	1292	86	1359	39	1428	69	1146	80	1124
105378585	12	152	8	117	5	137	10	122	8	72
643965	0	105	1	84	0	132	2	97	7	510
102724312	21	372	20	424	29	409	35	312	31	308
107985729	6	13	17	7	10	15	6	9	13	14
64856	430	2582	636	2539	442	2459	580	2223	1352	3002
219293	224	238	279	258	176	234	377	198	310	177
83858	2318	1435	3166	1441	2219	1433	3291	1182	3998	1006
55210	2117	837	2592	882	1791	903	2647	744	4143	810
339453	5	346	4	329	5	313	9	263	40	702
29101	8244	6869	7456	7043	5013	7123	10634	5807	5369	3655
643988	541	894	761	881	608	992	863	825	1128	745
105378586	46	185	31	189	18	165	32	134	87	119
142678	1019	4169	1301	4138	928	4379	1381	3617	3033	4602
8510	90	145	113	155	102	157	143	127	188	118
984	3888	3644	4003	3753	2643	3603	4972	3206	3814	2420
728661	6559	9928	6462	10571	4249	10377	7978	8504	5247	5557
8511	13	10	48	8	15	15	16	9	97	27
728642	2632	2624	2658	2738	1821	2661	3332	2393	2758	1836
9906	4286	7013	4005	7520	2591	7508	5253	6185	3003	3754
112268218	270	194	358	240	226	209	363	191	392	169
65220	4484	2466	5500	2652	3275	2610	5841	2197	4604	1468
2782	32937	56030	29517	59984	20168	60327	39413	49410	21624	29981
105378949	24	100	32	110	15	87	33	78	22	39
163688	65	83	65	82	40	63	90	57	49	46
339456	114	56	164	55	102	58	168	41	161	52
85452	23	676	31	817	26	775	35	604	38	378
107984872	31	71	33	71	21	78	55	52	38	31
105378589	1	2151	1	2387	0	2261	3	1946	2	1076
2563	24	13054	16	13564	16	12903	19	11288	16	9119
105378590	6	3	2	1	3	3	0	4	4	1
105378591	1	2	2	1	1	0	0	1	0	0
5590	1465	14715	1575	16049	986	15020	1855	13024	1201	8067
100506504	142	645	128	715	82	662	186	565	124	424
199990	951	3042	1101	3024	823	3006	1306	2673	2144	2615
112268219	295	158	347	175	246	186	421	150	379	114
105378593	24	19	18	19	14	17	23	17	15	15
6497	3936	14133	3768	14281	2611	14249	4725	11972	4657	11608
79906	416	965	387	1007	281	956	457	849	350	682
100129534	139	499	132	584	112	490	168	399	111	275
11079	7286	5001	6628	5309	4462	5302	8768	4347	5928	3388
5192	1071	1382	1151	1301	784	1383	1380	1133	1406	1187
9651	44	4926	71	4950	27	4915	51	4208	139	4525
55229	1504	2231	1798	2469	1131	2407	2002	2032	1728	1556
388585	0	57	2	52	0	46	2	69	1	58
115110	766	133	912	140	586	146	1011	130	808	75
8764	2317	662	3203	742	1978	731	3117	585	3484	493
100996583	37	17	47	9	25	17	50	13	34	2
127281	2015	3459	2189	3501	1478	3632	2644	2952	1999	1981
79258	223	350	287	392	187	367	344	342	366	298
105378597	5	12	4	8	4	5	2	4	6	4
100287898	63	133	92	123	45	119	89	113	69	65
105378603	0	0	0	0	0	0	0	0	0	0
105378602	0	1	0	0	0	1	0	2	0	1
105378601	0	3	0	1	0	2	0	3	0	1
112268220	0	3	0	4	0	4	0	4	0	1
107985732	0	2	0	6	0	2	1	2	0	2
105378600	0	4	1	2	1	12	1	5	1	1
105378598	3	39	2	37	0	36	4	34	1	17
107984904	0	5	0	7	0	4	1	2	0	4
105378599	1	2	0	3	0	2	0	4	0	1
140625	0	0	0	1	0	0	0	0	0	0
440556	4	540	5	633	4	634	15	509	17	441
63976	95	710	95	700	71	697	116	590	100	510
100422968	0	0	0	0	0	0	0	0	0	0
105378606	2	5	0	27	0	16	4	16	0	10
107984909	13	1	22	3	15	4	18	7	23	4
105378605	0	7	1	17	0	13	1	11	0	9
105378604	55	60	55	52	36	53	69	44	52	42
27237	775	135	936	158	614	160	1023	116	953	107
1953	2112	389	2151	330	1467	443	2643	345	2977	358
105378608	2	0	3	1	3	0	2	1	4	1
693135	0	0	0	0	0	0	1	0	0	0
105378607	1	0	0	0	1	3	1	1	1	0
127262	2513	12183	2462	13159	1644	13180	3312	10973	1715	6516
49856	1405	909	1712	1057	1015	993	1772	873	1611	662
7161	300	488	333	493	261	490	393	430	419	360
105378610	18	8	10	12	4	3	10	4	7	4
105378609	1	0	2	3	1	1	4	1	0	1
57212	2752	2732	2761	2874	1751	2744	3490	2441	2125	1554
148870	32	13	24	19	20	16	35	16	13	7
388588	37	18	61	24	49	11	58	19	200	20
57470	4198	4911	4154	5091	2712	4972	5482	4420	3837	3268
9731	2747	3218	2563	3329	1734	3379	3386	2844	2237	1880
1677	685	948	687	1001	470	947	906	875	572	538
107984910	42	74	35	84	18	66	26	62	21	38
