"","Veh_Mock_R1","Veh_Mock_R2","Veh_Mock_R3","Amp_Mock_R1","Amp_Mock_R2","Amp_Mock_R3","Amp_Tri_R1","Amp_Tri_R2","Amp_Tri_R3"
"11287",1,0,1,0,0,0,1,1,0
"11298",0,0,0,1,1,1,0,1,0
"11302",1,3,4,2,5,0,4,3,9
"11303",60,60,118,37,49,41,33,43,37
"11304",1,2,0,0,0,3,1,2,1
"11305",413,442,464,328,377,471,459,576,361
"11306",2132,2857,2514,2589,2393,3407,2274,2783,2123
"11307",31,58,55,29,37,48,48,95,38
"11308",4226,5463,5045,5417,5015,6288,4946,6572,4215
"11350",3045,4051,3887,3710,3516,4544,3297,4409,2815
"11352",742,798,758,825,818,1161,897,795,601
"11354",0,0,0,0,0,0,0,0,0
"11363",7385,8927,8388,6603,6210,7719,6294,8085,6065
"11364",7084,8239,9205,8539,7910,10621,7775,9905,9002
"11370",11510,12979,14097,11921,11089,14296,11570,13966,12558
"11409",16234,17526,19678,13944,13255,16664,13474,16910,13729
"11416",1463,1744,1721,1618,1487,2030,1866,2506,1757
"11418",3,4,1,3,1,3,2,3,7
"11419",135,172,166,168,160,220,161,173,139
"11421",624,815,679,980,1102,1447,971,1114,727
"11423",99,170,138,118,131,154,189,209,127
"11425",0,0,0,0,0,0,1,0,0
"11426",1278,1664,1705,1661,1472,2099,1840,2071,1341
"11428",5501,6688,6298,7189,6125,7844,5799,7197,5082
"11429",32445,36478,34211,40809,34169,40487,31405,39409,25996
"11430",13954,18161,18523,17966,16337,21099,17073,23526,16061
"11431",2974,3370,3151,3332,2857,3841,3199,4340,3229
"11432",1091,1200,1293,1195,1083,1545,1273,1617,1116
"11433",3071,3640,3175,6248,5738,6403,3916,4772,3396
"11434",0,0,0,0,0,0,0,0,0
"11435",37,46,42,28,23,38,26,27,31
"11438",11,12,11,6,12,9,12,21,8
"11440",0,0,0,0,0,0,0,0,0
"11441",0,0,0,0,0,0,0,1,0
"11443",35,56,48,61,81,71,72,80,64
"11444",166,159,179,126,134,188,151,149,141
"11447",0,1,0,0,0,0,0,0,0
"11448",1,2,0,0,1,0,1,4,1
"11449",0,0,0,0,0,0,0,0,0
"11450",0,0,0,0,0,1,0,0,0
"11451",5,4,11,13,10,12,11,5,8
"11459",356,414,300,891,775,962,1236,1804,1219
"11461",99695,137242,116961,114916,101861,128564,110740,160313,113412
"11464",0,0,2,0,0,0,0,0,0
"11465",111461,137152,129901,139659,126490,164375,131603,177624,136156
"11468",0,2,1,2,2,4,2,5,0
"11470",1,0,0,0,0,1,0,1,1
"11471",0,1,1,0,3,1,2,1,0
"11472",4,7,3,6,8,8,9,12,8
"11474",9,4,1,11,13,13,8,4,8
"11475",4,5,5,7,6,7,8,8,5
"11477",477,580,602,523,533,639,471,534,399
"11479",2787,3819,3708,3076,3013,3842,2470,3609,2483
"11480",1552,1997,1919,2227,1918,2572,2324,2940,2273
"11481",400,470,460,372,445,557,455,528,368
"11482",268,246,310,90,93,125,169,245,142
"11484",138,197,174,66,95,100,109,163,134
"11486",326,436,312,401,323,441,479,710,475
"11487",3283,4686,4032,4597,4203,5429,4484,5627,4053
"11488",19,15,20,20,22,20,24,35,10
"11489",1,2,1,0,2,1,3,2,0
"11490",1342,1523,1659,670,642,828,1759,2670,1984
"11491",1338,1546,1601,1288,1190,1484,1436,1737,1337
"11492",12,16,15,27,18,34,32,37,22
"11495",0,0,1,1,1,0,1,1,0
"11496",142,156,191,118,88,106,140,159,110
"11497",0,0,0,0,0,0,0,0,0
"11498",24,36,33,22,26,26,28,40,24
"11499",0,0,0,0,0,2,1,1,0
"11500",5,9,12,7,7,5,5,4,5
"11501",23,15,21,20,36,31,37,53,27
"11502",2857,3621,3460,3522,3324,4440,3244,4321,3355
"11504",0,0,1,1,0,0,0,0,1
"11512",13417,13762,15733,12184,12850,16580,11214,13505,10718
"11513",66,96,130,77,100,171,144,294,135
"11514",117,174,156,20,38,42,35,46,21
"11515",408,512,436,478,476,530,465,602,359
"11516",1,1,4,0,0,0,2,4,3
"11517",1,4,0,11,3,6,9,13,8
"11518",9665,11427,11370,9771,9075,11270,8885,11628,8668
"11519",0,1,0,0,0,0,0,0,0
"11520",3771,4633,4972,4804,4369,5619,4945,6910,5595
"11522",2621,2235,3383,3762,4279,4024,2647,3656,2790
"11529",5,0,3,7,4,7,3,5,2
"11532",11949,11326,14414,12384,11554,15348,10592,14107,12540
"11534",8083,8873,9886,7428,7032,9626,6805,8832,7340
"11535",110,158,131,280,250,311,407,395,315
"11536",15,13,15,7,10,13,13,19,16
"11537",0,1,0,0,0,0,0,1,0
"11538",351,744,692,610,507,644,698,783,390
"11539",23,30,31,27,30,24,76,155,72
"11540",20,29,40,39,35,26,57,89,39
"11541",294,237,331,422,311,419,270,311,346
"11542",0,0,4,0,0,4,0,4,4
"11544",1485,1581,1839,1524,1477,1856,1474,1936,1666
"11545",1956,2443,2430,2065,1956,2333,2085,2838,1823
"11546",1008,1189,1105,1172,1140,1443,1230,1622,1120
"11548",1,0,1,0,1,2,1,2,1
"11549",7,4,6,4,6,15,8,15,13
"11550",0,0,0,0,0,0,0,0,0
"11551",10611,12079,11953,7487,6767,8092,6937,8467,6137
"11552",6,7,3,7,8,10,12,9,4
