UniqueCount	AmbigCount
0	3
0	0
0	0
0	0
0	40
2	0
0	1
1	0
0	0
2	673
0	19
1	340
8	1387
3	1380
2110	4503
0	1253
0	1659
0	766
1	628
11	1703
1	1088
153	2659
80	13118
105	12964
16	527
1	0
0	2491
16	2925
44	673
51	2425
89	609
1	368
1	2734
11	903
91	958
1	2
4	178
0	0
0	0
0	0
0	0
4	445
0	706
8	4380
32	343
0	274
0	3060
0	3576
57	1198
0	809
9	39
4	151
10	32
4	79
0	170
19	42
0	154
0	0
0	109
0	4
0	3
0	3
0	0
0	0
0	2
0	1
0	1
0	4
0	0
0	0
0	0
0	0
1	915
2	3365
0	0
0	0
0	0
0	0
356	2067
0	391
0	68
0	1434
0	612
68	1328
2	211
0	1896
2	1881
0	800
0	0
0	0
0	0
5	98
0	0
1	105
0	1191
1	3934
0	7
0	0
6	0
0	17
0	0
941	196
0	5
0	4
0	1
0	3
0	5
0	3445
0	0
0	1126
0	190
0	0
0	0
0	677
0	0
2	0
0	516
0	512
0	518
11	19
0	423
9	465
0	518
1	37
3	91
5	452
21	1130
23	1308
0	9
0	821
0	0
1	8
0	10
0	821
0	0
0	0
16	3
0	79
61	585
172	146
0	134
0	254
0	97
2	255
1	251
0	120
0	245
0	133
0	119
0	486
0	92
64	19
0	52
4	34
3	61
0	44
0	24
0	25
0	99
4	13
4	31
0	20
0	54
1	0
0	37
0	1
2	3977
0	0
113	834
1	2655
0	0
1	23
0	5
0	2
1	6
0	4
0	1911
0	1
0	0
1	6
0	1
0	1911
0	1
0	1
8	1014
0	1
0	1
7	129
3	1750
1	8
0	0
3	9080
0	0
1	2194
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	357
0	0
3	0
1	46
1	5444
0	0
4	28
0	0
8	1341
0	0
0	3
19	3052
0	671
2	1091
138	8063
0	2
0	0
0	497
84	81
1	81
0	0
0	0
0	0
0	0
5	0
9	1474
4	1202
0	322
28	1205
15	103
2	56
86	155
0	148
0	0
0	0
0	0
2	0
0	0
0	0
1	49
0	0
0	27
0	0
14	812
0	104
0	0
0	104
1	327
0	3
0	0
0	0
0	0
0	0
0	0
1	85
0	0
0	0
0	0
0	0
0	0
0	641
2	0
0	0
0	0
0	0
3	246
0	0
0	0
0	0
0	0
20	645
0	645
0	236
0	237
2	0
0	0
15	0
0	0
0	0
1	53
7	53
6	1062
5	6
1	6
0	13
38	27
0	1
5	20
0	0
0	0
0	20
0	0
0	0
1	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1997
0	0
0	0
81	1184
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	2811
11	435
0	359
86	11044
18	487
2	531
2	87
0	461
0	0
0	0
0	0
0	0
0	3
0	81
1	381
0	2
0	0
0	1
0	0
0	0
1	1464
1	0
0	184
0	0
0	1
0	2
0	0
0	0
0	0
1	0
0	2
2	13
1	0
0	257
1	0
0	0
11	128
2	28
2	2
1	350
1	0
0	4544
0	0
0	542
5	498
0	0
3	2171
1	888
0	0
0	0
0	0
0	83
0	0
2	1566
0	19
0	5
0	5
1	15
9	48
0	305
1	303
1	45
12	62
0	293
0	184
0	28
0	156
0	3
0	1478
2	227
0	701
0	617
0	612
0	480
1	1493
0	1530
0	1523
30	7760
0	63
26	42
1	0
11	67
4	504
8	542
0	1324
10	200
5	17
9	174
0	394
1	272
0	55
0	57
0	2019
1	73
1206	1714
168	3517
0	635
5	1067
0	843
0	209
0	1064
0	19
59	1
2504	1899
0	66
5	56
15	2414
17	1856
18	26
2	0
0	0
0	1
0	0
0	496
0	243
0	127
0	0
0	0
24	529
40	1129
15	132
2	1121
0	5
14	5
487	2586
5850	1417
3	223
0	416
1	10
0	119
0	0
0	0
0	0
0	0
0	0
0	0
357	297
6	307
8	705
0	1020
0	195
5	142
0	894
75	2142
