UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	1
2	0
0	0
2	24
0	117
0	48
1	223
3	142
128	814
0	71
0	93
0	33
0	49
0	58
0	63
51	1013
4	1021
3	1015
4	272
0	0
0	121
3	149
0	17
8	78
6	324
0	7
0	148
5	92
10	336
0	2
0	65
0	0
0	0
0	0
0	0
0	17
0	18
14	275
2	4
0	4
0	81
0	253
4	66
0	147
2	19
0	43
1	5
1	17
0	47
12	8
0	60
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	43
1	669
0	0
0	0
0	0
0	1
171	483
0	40
0	8
0	178
0	120
56	794
2	29
5	448
2	463
0	1162
0	0
0	0
0	0
8	17
0	0
0	5
0	454
0	839
0	24
0	0
0	0
0	13
0	0
40	6
8	325
0	321
2	21
0	30
4	207
0	1101
0	0
0	913
0	0
0	1
0	1
0	915
0	1
0	0
0	31
0	31
0	31
8	3
0	19
0	24
0	31
1	1
0	1
0	20
15	583
13	232
3	59
0	349
0	1
0	1
0	59
0	348
0	0
0	0
4	7
0	8
37	150
17	19
0	15
0	30
0	11
1	34
2	36
0	12
0	32
0	12
0	10
0	122
0	11
52	26
0	39
1	11
0	18
0	13
0	10
0	4
0	37
10	5
7	13
0	6
1	24
0	0
0	15
0	0
0	868
0	0
49	157
7	317
0	15
2	10
0	7
0	5
0	15
1	2
0	521
0	0
0	0
2	1
0	0
0	521
0	0
0	0
1	376
0	0
0	0
1	74
0	85
0	533
0	0
0	545
0	4
5	264
0	3
0	3
0	1
0	0
0	3
0	0
0	0
0	0
0	1
0	2
0	0
0	0
0	0
0	0
89	0
0	0
0	86
0	0
0	0
0	99
0	1064
0	0
3	7
0	0
6	563
0	7
0	5
2	569
0	10
0	59
10	1038
2	0
0	0
0	54
22	39
1	39
0	0
0	0
0	0
0	0
0	0
14	626
0	114
0	6
1	114
0	1
0	3
4	52
0	22
0	0
0	0
0	0
1	0
0	0
0	0
22	656
0	0
0	3
0	0
8	378
0	91
0	0
0	91
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	219
0	0
0	0
0	0
0	0
0	0
0	170
0	0
0	0
0	0
0	0
1	120
0	0
0	0
0	1
0	0
0	2
0	2
0	0
0	0
0	0
0	1
2	1
1	0
1	35
0	22
3	22
33	10308
4043	2700
106	2680
9	1856
196	480
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
2	0
0	145
0	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	159
0	15
0	12
221	3707
0	9
0	22
20	10284
