UniqueCount	AmbigCount
95	307
314	135
0	792
2	773
2	784
14	19
3	333
0	333
0	1
0	1
0	1
12	676
0	676
13	557
0	175
0	118
0	0
0	1
0	1
0	1
0	1
0	1
94	1191
0	1191
0	1154
7	1185
136	0
5	465
0	465
10	0
3	12
12	1177
0	166
0	165
0	165
2	166
0	165
0	165
45	0
32	462
16	14
0	50
11	215
0	49
0	49
0	49
0	64
1	207
21	1188
0	31
3	20
2	1156
0	0
0	317
0	317
0	0
0	0
0	0
0	0
0	0
0	0
288	660
0	4
0	4
0	1
0	3
0	2
129	0
0	0
0	26
18	1955
0	141
0	137
76	0
12	126
0	171
0	171
3	36
0	36
0	0
2	0
23	131
0	31
0	31
0	0
0	13
0	27
0	0
0	14
0	14
0	2
0	0
3	60
0	0
0	4
0	4
0	0
2	21
0	21
46	4277
0	4280
28	4265
0	0
0	0
1	0
0	0
0	0
0	0
8	155
0	0
0	0
0	2252
0	2252
0	0
0	0
0	0
0	0
5	37
1	51
0	0
0	0
3	6
0	7
0	31
0	29
0	30
33	1216
0	175
0	175
0	1207
2	1175
0	0
7	2
1	51
0	27
0	817
0	796
100	0
5	2
0	2
0	0
0	0
0	0
1	1
0	590
1	590
0	1
2	277
52	1
507	1
0	10
0	10
0	10
0	10
0	11
0	10
6	13
0	10
5	8
0	0
0	8
129	57
0	102
0	103
0	103
0	98
1334	0
0	0
0	4
0	4
0	4
0	4
0	4
0	64
0	70
13	69
0	1278
4	1278
0	55
0	55
0	55
0	81
0	81
15	0
219	1
768	57
0	0
0	0
55	0
4	0
2	1148
0	1491
0	1491
0	1491
1	134
0	134
0	87
3	89
0	89
0	89
0	88
0	0
0	0
12	750
1	750
0	3
0	3
0	0
0	0
6	38
0	4
0	0
0	4
0	5
0	1
4	94
9	2
0	0
1	0
0	0
0	0
0	0
0	0
1	0
9	186
0	0
10	2
29	11
1	11
1	0
1	0
65	0
0	8
16	1
0	0
10	36
0	122
0	305
0	306
0	70
1	73
0	73
2	73
0	58
52	59
1	59
5	83
0	2
0	2
0	5
258	5
18	84
7	84
0	3
31	329
0	0
0	3
14	1
0	0
128	0
0	2
0	0
0	2
2	44
17	99
0	236
0	236
0	235
0	174
0	6
0	6
0	6
0	6
2	7
1	5
258	5
0	0
7	9
56	1
3	29
0	70
1	65
1	169
0	60
0	0
0	1
0	1
0	1
7	271
0	271
763	0
0	322
0	320
0	320
14	0
10	160
1	0
0	0
0	0
0	0
0	0
4	0
0	0
147	0
82	0
0	15
0	15
0	389
0	389
840	0
177	1538
9	1538
3	0
0	0
0	493
0	493
0	47
2	12
0	46
441	0
15	62
0	4067
0	4069
55	64
0	4086
41	18
7	4122
2	322
0	322
0	322
20	3
7	9
1	185
0	182
9	8
0	0
0	0
0	0
145	0
0	0
254	0
1	0
0	0
280	1
71	0
0	58
0	57
0	58
0	57
0	57
58	255
0	162
1	173
0	102
0	12
0	169
0	168
0	199
0	219
0	219
0	0
1	0
0	0
0	0
6	0
0	127
12	208
1	16
2	105
0	101
0	11
0	41
0	41
0	207
0	207
0	207
0	207
1	20
0	21
4	21
533	57
2	0
0	2
0	2
0	2
0	2
10	15
7	53
3	57
0	182
1	129
1	129
1	16
42	16
0	0
0	181
0	181
0	179
0	177
21	0
1	26
2	26
14	39
99	177
1	254
0	257
0	0
0	0
0	41
0	41
0	6
1	51
0	40
0	40
0	15
0	37
0	12
1	0
0	0
0	4
0	4
0	237
0	237
1	237
0	237
13055	0
5	5
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
4	4
0	145
73	20
0	12
2	0
15	34
0	34
0	0
103	0
0	23
1	23
0	24
2	43
22	33
460	32
8	738
2	738
0	0
0	0
0	0
0	3
0	3
127	2815
0	830
4	830
0	830
0	0
34	9
0	239
0	242
0	233
0	0
0	0
40	137
599	5
0	0
2	6
71	0
0	3
0	3
0	2
0	3
0	3
0	3
0	32
0	32
0	2
0	3
0	3
0	2
0	2
99	17
6	17
1175	0
0	0
0	0
3	0
0	311
0	301
0	308
0	53
0	53
0	53
0	38
0	127
0	128
0	144
0	103
0	260
1	250
1	257
0	175
15	175
0	175
0	171
1	175
41	0
0	3
0	1
0	0
0	3
0	1
0	102
0	105
0	105
0	0
0	0
0	0
0	0
0	36
0	36
0	36
0	4
0	4
0	4
0	0
0	0
0	0
5	180
0	0
0	0
0	0
0	89
0	133
0	131
0	110
2	89
1	0
0	0
75	0
0	0
0	0
1	0
0	0
0	0
3	3
0	0
0	121
0	121
0	0
99	0
2	135
0	134
0	135
0	131
0	24
0	22
0	31
0	148
0	146
0	148
0	127
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
16	0
1	320
0	320
9	90
14	131
0	21
0	29
0	36
0	34
44	225
0	0
8	38
361	0
71	0
0	0
0	1
0	1
0	1
0	3
0	3
0	3
0	421
1	421
531	0
0	5
1	6
0	8
0	8
0	9
5	9
0	26
0	26
0	26
0	9
0	0
4	7
0	0
1626	147
3	69
0	69
2	45
0	123
0	123
0	0
0	0
0	0
0	19
0	19
0	0
0	0
0	0
0	0
0	99
0	162
83	174
0	104
0	167
0	0
0	30
68	48
1	231
0	275
0	487
4	483
21	77
0	0
0	0
0	4
0	4
0	4
0	4
0	4
0	22
0	22
0	22
0	22
0	23
0	23
0	26
17	46
0	115
0	115
0	114
0	20
62	37
10	0
4	2506
13	255
0	1
1	1
28	80
0	80
0	69
16	2979
87	2980
28	2973
29	3143
0	3165
139	325
0	3166
5	3143
74	2978
22	2978
0	3168
1	3134
10	23
0	0
0	0
304	0
4	12
1	0
0	0
5	0
1	257
0	255
0	182
0	4
0	2
0	2
62	0
28	155
0	0
0	11
0	33
2	160
0	37
0	37
0	39
2	155
1	0
0	2
0	2
15	0
0	142
0	142
0	142
0	142
0	142
0	26
30	46
216	46
2	0
0	0
6	2
9	44
0	44
0	74
0	74
0	73
0	72
0	2
0	74
1	0
0	0
0	0
0	0
0	0
0	0
13	0
0	0
27	0
189	0
1	17
49	17
0	46
0	46
0	46
0	0
0	0
175	0
0	0
52	4
25	4
0	0
110	68
0	0
0	0
0	0
0	0
0	490
0	490
0	490
0	490
25	34
18	101
48	0
94	0
0	64
0	64
3	137
0	137
0	56
0	56
1	6
0	1
0	1
2	12
0	0
0	0
0	0
4	6
22	6
11	42
11	28
17	128
0	128
0	0
0	1
0	1
0	1
0	1
0	1
0	0
2	22
2	6
88	263
0	154
0	152
0	154
0	134
1	0
30	135
0	268
4	250
0	253
0	259
2	19
133	19
0	0
0	0
0	0
0	1
0	0
0	1
0	3
3	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	44
0	44
0	2
0	2
1	12
0	10
0	10
0	10
0	10
0	10
0	0
0	7
111	7
3	28
5	30
0	265
0	265
0	266
0	19
0	2
49	27
0	0
53	0
0	0
0	0
3	1
2	1
0	0
0	0
0	0
0	0
1	6
2	7
2	95
0	95
74	0
8	11
0	7
1	9
0	13
0	11
55	96
0	32
54	30
0	198
49	191
76	186
283	0
49	159
32	162
4	349
0	343
0	0
946	113
0	0
2	1
2	1
69	7
5	38
12	38
0	0
0	0
3952	1518
2	0
2	0
6	4
2	56
8	72
2	70
0	74
3	39
4	0
1	16
2441	2744
2	1
3	1
0	21
0	21
0	21
0	0
374	0
48	0
2	25
0	25
1	1396
2	1396
0	100
6	100
5	112
139	112
269	96
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	0
1	57
0	57
0	8
84	9
7	14
0	77
0	184
1	179
14	0
0	0
1	0
2	5
1	7
90	395
94	870
0	870
4	306
5	301
0	289
10	66
0	13
0	68
0	3
0	2
0	3
0	2
0	0
0	102
67	93
0	705
4	690
3	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	53
9	53
4	8
0	416
1	416
19	15
0	87
0	87
0	87
62	0
13	87
1	167
74	167
0	0
0	18
0	18
0	2
0	2
0	236
0	236
0	236
84	1
2	0
76	0
5	0
0	0
0	0
0	0
13	0
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	41
0	41
0	41
0	39
0	0
0	0
0	0
0	36
0	36
1	1
12	1
4	2
0	0
0	0
0	0
0	134
0	134
0	5
0	5
4	0
0	0
0	0
5	14
0	146
4	146
3	0
52	901
0	0
1	125
0	125
1	2
0	2
1	1
547	0
2	1
0	1
17	0
0	594
0	594
0	594
0	594
0	594
8	151
4	151
0	0
0	0
0	0
16	0
2	0
0	0
0	0
0	0
225	798
0	317
0	483
0	244
0	218
442	18
27	208
1	831
0	800
0	895
0	163
14	174
7	25
9	304
0	101
4	98
0	88
0	0
0	4
0	20
0	20
0	17
20	142
2	365
0	363
1	366
1	5
0	5
0	0
17	330
0	330
17	69
0	24
1	24
1	0
4	12
415	0
0	10
0	211
0	11
3	9
0	205
7	937
3	0
0	0
5064	0
0	0
0	0
28	11
1	11
3	6
31	21
3	21
21	21
0	437
0	688
1	433
1	426
1	432
0	663
0	0
3	230
0	230
0	230
0	1
3	1
28	0
8	11
0	11
0	583
0	583
9	583
13	126
2	3
0	5
0	15
0	15
0	0
267	0
0	0
1	0
13	4
63	10
120	0
294	0
6177	0
0	201
33	405
0	435
2	326
0	436
0	440
3	0
32	167
0	18
0	15
0	19
0	16
2	0
0	0
0	0
0	80
0	80
1	0
521	2
28	18
26	20
0	0
0	38
0	38
0	161
0	163
0	162
22	1791
0	20
0	20
0	0
0	8
0	8
0	8
7	13
2935	20
10	522
0	522
31	0
4	671
0	4
0	90
0	90
0	90
36	0
0	0
0	14
0	14
0	7
530	0
0	0
0	0
1	0
0	0
0	2412
0	2412
0	0
0	7
0	11
0	9
0	7
0	0
0	107
0	105
0	106
0	106
0	104
0	103
0	100
34	78
48	5
0	12
0	12
0	12
0	0
421	242
1155	0
4	89
0	11
1	11
0	0
0	2
305	2
0	1
0	1
0	28
0	28
0	0
0	0
6	0
2	0
37	4
5	0
0	0
0	0
0	424
0	360
0	424
5	344
123	635
8	29617
1	29618
0	29619
1	29612
22	13744
0	18
0	18
0	49
0	49
0	46
0	247
0	247
2	247
403	0
0	19
0	19
0	49
2	49
1	125
0	131
0	131
1	131
0	131
20	0
217	18
22	5
0	0
0	0
0	0
3	12
0	12
0	2
0	2
13	14
0	44
0	44
0	1
0	1
10	1
36	12
128	902
25	98
0	862
30	461
0	461
21	91
63	184
19	185
0	655
1	641
0	658
16	658
0	27
0	26
13	677
176	0
1	0
0	0
0	28
0	28
0	28
70	242
0	0
0	0
0	0
1289	472
0	0
0	0
0	0
0	0
22	162
0	1
0	33
0	33
5	26
21	8
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	2
0	0
0	0
0	0
0	0
0	0
0	12
0	1
0	11
0	1
2	1483
9	263
0	1556
0	1490
0	0
0	0
0	0
0	0
0	0
0	15
1	15
0	50
13	50
0	146
0	142
0	146
7	146
