UniqueCount	AmbigCount
0	3
0	0
2	0
0	0
0	49
1	0
3	2
1	0
0	0
3	653
0	13
0	304
14	1674
4	1271
3001	4973
0	1095
2	1517
0	739
0	539
9	1687
2	950
260	2706
77	15467
80	15323
22	724
0	0
0	2217
28	2626
41	600
125	2140
156	704
0	343
0	2469
19	812
158	1391
4	3
3	205
0	0
0	0
0	0
0	0
6	526
0	850
13	5530
75	463
0	320
0	3847
0	4509
78	1448
0	964
22	45
3	126
2	36
5	44
0	146
48	46
0	227
0	0
0	117
0	1
0	1
0	1
0	0
0	1
0	1
0	1
1	1
0	1
0	0
0	0
0	0
0	0
0	837
2	4399
0	0
0	0
0	0
1	0
511	3131
0	462
0	114
2	2371
0	816
60	1643
6	220
7	2912
0	2894
0	612
0	0
0	0
0	0
2	107
0	0
0	122
2	1429
0	4408
1	12
0	0
6	0
0	24
0	0
1512	299
0	6
0	6
1	1
0	1
0	5
0	2955
1	0
0	1020
0	181
0	0
0	0
0	564
0	0
3	0
0	1421
0	1396
1	1422
10	22
0	1158
17	1267
0	1422
3	79
5	205
4	1265
21	1422
31	1660
0	6
0	986
0	0
6	16
4	6
0	986
0	2
0	0
19	13
0	95
104	749
250	184
0	166
0	300
0	125
2	309
3	304
0	149
0	292
0	159
1	141
0	628
0	109
63	16
0	61
2	39
2	74
0	53
0	40
0	29
0	126
2	21
6	35
0	38
0	99
1	0
1	52
0	0
5	5106
0	0
254	1643
3	3169
1	4
1	29
0	11
0	5
1	14
1	4
0	2655
0	1
0	1
2	8
1	1
0	2655
0	0
0	0
16	1330
0	4
0	0
13	160
1	1731
0	7
0	0
2	6516
0	0
3	2833
0	5
0	5
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	5
0	0
0	0
1	0
0	0
0	0
1	0
0	424
0	0
0	0
7	59
1	7305
0	0
6	60
0	0
17	1660
0	0
0	3
17	3652
6	720
4	1182
194	9284
1	4
1	0
5	605
72	87
8	87
0	0
0	0
0	0
0	0
18	0
16	1797
3	1504
0	354
30	1505
13	111
8	28
49	117
0	100
0	0
0	0
0	0
1	1
4	1
0	1
1	59
0	0
0	33
0	0
23	1113
0	139
0	0
0	140
1	381
0	0
0	0
0	0
0	1
0	0
0	0
0	120
0	0
0	0
0	0
0	0
0	0
0	836
0	0
0	0
0	0
0	0
4	330
0	0
0	0
2	0
1	0
13	440
0	440
1	126
0	126
0	0
0	1
11	1
0	0
1	0
5	91
20	91
16	1326
5	9
0	9
0	12
36	35
0	4
31	71
1	2
0	2
0	69
0	4
0	2
10	14
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1374
2	0
0	1
128	1406
0	1
0	2
0	2
0	0
0	0
1	0
0	0
1	0
0	0
1	2443
21	364
0	294
72	12397
16	401
3	442
2	81
2	502
0	0
1	0
0	0
0	0
3	2
2	120
2	546
0	4
0	0
0	0
0	0
0	0
0	1296
0	1
3	244
0	0
0	1
0	0
0	0
0	0
0	0
1	0
0	0
0	10
0	0
0	268
0	0
0	0
22	208
2	37
2	451
1	445
0	0
3	5586
0	0
2	688
7	677
1	0
1	2618
1	811
0	0
0	0
0	1
0	113
0	0
1	1908
1	18
0	12
0	12
0	23
4	59
0	364
0	358
5	53
16	65
4	354
1	223
0	33
0	199
0	1
0	1760
1	332
0	814
0	761
0	754
0	515
0	1807
0	1842
0	1820
21	9734
0	59
30	33
0	0
14	64
9	632
7	673
0	1639
2	224
8	23
7	227
0	434
1	331
0	70
0	65
0	2563
0	66
1632	2270
535	4299
0	851
12	1386
0	1103
0	267
0	1369
0	39
58	1
2135	1645
0	57
3	55
24	3273
21	1606
33	19
0	1
0	1
0	3
1	0
0	976
0	514
0	237
0	0
0	0
36	1064
67	1621
20	255
1	1627
0	20
12	0
390	2519
3562	849
4	135
0	272
0	12
1	133
0	0
0	0
0	0
0	0
1	0
0	0
505	440
4	443
19	983
0	1230
0	223
16	199
