UniqueCount	AmbigCount
149	1935
5268	1596
0	7753
24	7600
43	7508
28	1016
232	3325
1	3325
0	0
0	0
0	0
877	4455
1	4455
50	3177
0	324
1	236
0	0
0	5
0	5
0	5
0	5
0	5
364	2649
0	2649
2	2317
9	2515
1398	0
0	5
0	5
0	0
1	535
10	1138
0	894
0	894
7	877
3	880
0	894
1	894
20	1
37	610
167	147
0	274
24	666
0	249
3	254
0	256
0	271
2	585
1	1649
0	0
0	31
2	1651
0	0
0	594
0	594
0	0
0	0
0	0
0	0
0	0
0	0
1354	1269
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	731
223	5840
0	1486
5	1332
141	0
69	288
5	1394
30	1394
71	236
1	236
5	0
0	0
98	398
0	65
0	65
0	0
0	8
0	32
0	1
0	25
0	25
0	0
0	0
13	64
0	0
2	795
0	795
8	0
11	134
7	134
0	16
0	16
3	21
30	9
0	9
1	1
0	0
0	0
0	0
80	1362
0	0
0	0
20	3357
1	3357
0	0
0	0
0	0
0	0
15	7
16	25
0	0
6	0
10	59
21	103
0	475
1	464
0	466
14	1792
7	496
0	496
0	1762
2	1745
0	0
30	76
64	619
0	164
0	285
0	265
3151	0
3239	2107
75	2107
0	0
0	0
0	0
0	627
7	777
27	773
0	659
249	1575
7629	1135
716	0
1	4418
0	4690
4	4682
0	4512
0	4646
0	4682
141	4552
0	4504
9	27
0	1
0	26
199	10
1	2549
0	2564
4	2537
7	1873
3811	0
2	0
50	7969
3	7969
0	7969
2	4704
1	3940
0	65
1	90
64	448
0	1100
16	1100
0	274
0	274
0	274
108	1741
7	1741
79	0
1542	14
2061	222
0	0
0	0
1933	0
73	0
11	4341
0	5338
11	5320
9	5320
590	1684
1	1684
0	2573
26	2669
3	2586
12	2659
18	2542
357	1178
2	1178
0	1
1	1
1	26
0	26
7	1371
0	1374
4113	1260
8	1402
0	849
0	1359
16	1193
0	1881
413	1958
52	297
0	406
1179	406
0	0
0	0
0	0
1	0
0	0
17	99
6	0
14	255
577	673
7	634
67	2
0	2
835	0
84	97
3001	89
1	0
208	2648
2	8709
0	11275
0	11292
2	2307
1	284
0	284
2	284
0	974
165	976
1	975
5	17
0	0
0	0
0	0
0	0
624	746
26	746
2	94
70	613
0	94
0	88
18	0
0	0
0	0
0	6180
122	899
18	6188
126	17691
2542	49718
0	61184
76	60724
283	58180
2	32401
0	1381
21	1563
6	1563
4	1535
90	1277
1	33
647	33
0	0
25	200
2615	139
3	200
0	222
2	204
6	311
4	96
0	0
0	3
1	18
3	18
67	773
2	773
1827	0
0	3661
3	3492
2	3590
357	0
539	233
12	1
0	0
0	0
0	0
0	0
8	0
0	0
394	0
569	3
0	13
0	13
0	352
57	354
0	0
0	0
0	0
0	0
1	0
0	20574
6	20574
0	1296
3	811
0	1225
1764	0
304	637
5	9073
34	8973
366	1127
0	9298
180	197
67	8562
310	8908
21	8937
13	8935
0	132
17	261
8	719
1	670
13	159
0	0
0	0
0	0
33	0
0	0
3136	0
1	0
1	0
183	1
4531	0
0	426
0	422
0	423
0	421
0	410
220	622
0	410
1	410
0	228
1	396
0	3110
1	3023
0	1298
23	1641
0	1641
436	1474
11611	1474
1609	15506
2	15506
32198	0
3	174
13	126
6	1
0	80
0	80
0	3
0	17
0	17
0	230
0	230
