UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
1	1
1	1
0	1
0	10
0	39
0	85
2	863
1	85
106	516
0	38
0	52
0	25
0	28
0	46
0	34
16	534
1	649
4	649
1	151
0	0
0	66
1	76
0	12
13	64
6	95
0	3
1	76
5	42
38	282
0	2
0	25
0	0
0	0
0	0
0	0
0	8
0	10
5	377
1	1
0	3
0	110
0	364
5	69
1	209
1	23
0	63
2	17
0	18
0	91
9	16
0	94
0	0
0	15
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	33
0	969
0	0
0	0
0	0
0	1
104	306
0	28
0	8
0	135
0	64
24	681
1	17
3	280
1	286
0	20
0	0
0	0
0	0
3	9
0	0
0	8
0	593
0	189
0	13
0	0
0	0
0	14
0	0
63	10
4	258
0	251
0	25
0	43
2	178
0	992
0	0
0	101
0	0
0	0
0	0
0	101
0	0
0	0
0	52
0	51
0	54
5	4
0	35
0	50
0	52
0	2
0	5
0	44
8	342
7	109
1	24
0	198
0	0
0	0
0	25
0	198
0	0
0	0
0	3
0	2
7	43
4	7
0	7
0	12
0	6
0	11
2	12
0	6
0	12
0	5
0	4
0	37
0	2
14	19
0	25
0	6
0	8
0	4
0	4
0	2
0	7
2	0
1	1
0	2
0	5
0	0
0	12
0	1
0	1221
0	0
175	191
15	233
0	79
3	32
0	18
0	17
2	39
1	10
0	248
0	0
0	0
0	1
0	0
0	248
0	0
0	0
1	154
0	0
0	0
2	66
0	155
0	92
0	0
1	1831
0	26
0	256
0	145
0	114
3	64
2	22
0	113
0	4
0	4
8	3
0	16
0	89
0	0
0	0
0	0
0	0
0	0
0	0
0	57
0	0
4	1
0	41
0	1486
0	0
3	3
0	0
3	300
0	2
0	9
3	358
0	17
0	38
4	477
5	0
0	0
0	40
22	10
0	10
0	0
0	0
0	0
0	0
0	0
8	318
0	284
0	37
2	284
0	4
0	3
3	37
0	14
0	0
0	0
0	0
0	0
0	0
0	0
5	324
0	0
0	5
0	0
20	215
0	43
0	2
2	45
0	13
0	0
0	2
0	0
0	0
0	0
0	0
0	109
0	0
0	0
0	0
0	0
0	0
0	86
0	0
0	0
0	0
0	0
0	59
0	0
0	0
0	9
0	0
0	22
0	22
0	7
0	7
0	0
0	0
1	0
0	0
0	0
2	14
0	14
2	2305
30	24
0	24
0	37
4	147
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
12	0
0	0
2	0
0	655
0	0
0	0
0	1
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
1	165
1	13
0	7
66	1097
1	9
0	36
4	3559
0	79
0	0
