UniqueCount	AmbigCount
19	154
123	72
0	333
3	326
1	332
6	14
0	77
1	77
0	0
0	0
0	0
13	366
0	366
5	222
0	137
0	95
0	0
0	0
0	0
0	0
0	0
0	0
44	367
1	367
0	342
3	360
74	0
7	260
0	260
4	0
0	16
4	129
0	137
0	135
0	137
0	136
0	135
0	135
19	0
12	211
1	7
0	13
1	54
0	12
0	11
0	12
0	18
0	50
88	351
0	82
4	34
3	252
0	0
0	305
0	305
0	0
0	0
0	0
0	0
0	0
0	0
152	250
0	116
0	115
2	22
0	113
0	68
0	0
0	0
0	17
3	467
0	69
0	67
22	0
6	73
0	276
1	276
0	17
0	17
0	0
0	0
25	65
0	36
2	36
0	0
0	10
0	13
0	0
0	3
0	3
0	0
0	0
0	12
0	0
0	21
0	21
1	0
0	16
0	16
0	54
0	54
0	55
0	0
0	0
1	0
0	0
0	0
0	0
6	44
0	0
0	0
6	500
0	500
0	0
0	0
0	0
0	0
1	28
3	26
0	0
2	0
4	9
0	12
0	33
1	31
0	30
77	5036
2	175
0	175
0	4987
0	3716
0	0
57	69
71	582
2	577
0	917
0	851
70	0
6	2
1	2
0	0
0	0
0	0
0	1
0	222
0	222
0	1
4	193
367	19
127	0
0	45
0	45
0	44
0	45
0	46
0	45
4	46
0	45
3	13
0	0
0	13
78	17
1	135
0	136
0	136
0	125
6722	0
0	0
0	1
0	1
0	1
0	0
0	0
0	58
0	60
9	56
0	283
2	283
0	48
0	48
0	48
1	59
0	59
30	0
948	4
570	42
0	0
0	0
180	0
15	0
1	1868
0	2347
3	2335
4	2335
7	101
0	101
0	925
10	951
0	927
0	920
0	893
0	0
0	0
0	57
0	57
4	11
0	11
0	4
0	4
15	41
0	8
0	1
0	8
0	8
0	1
3	51
6	0
0	0
2	0
0	0
1	3
4	3
112	0
0	0
2	140
2	0
4	36
229	118
1	114
1	0
0	0
116	0
7	6
98	1
0	0
0	27
0	100
0	197
0	201
0	57
1	35
0	35
0	35
0	44
34	45
0	45
2	53
0	25
0	25
1	66
867	66
13	29
0	29
4	14
13	229
0	6
0	10
2	0
2	0
779	0
0	1
0	0
0	1
0	20
4	72
0	248
0	246
1	245
0	208
0	18
1	20
0	20
0	20
4	18
0	8
246	8
2	0
0	8
25	2
4	129
0	179
1	165
0	215
1	144
0	0
0	0
0	1
0	1
3	159
0	159
1046	0
0	267
0	264
0	256
34	0
37	65
0	0
0	0
0	0
0	0
0	0
3	0
0	0
14	0
91	0
1	32
1	32
0	135
0	135
149	0
0	5
0	5
1	0
0	0
0	251
0	251
0	72
0	30
0	65
1298	0
2	15
0	2679
0	2677
5	30
0	2686
15	8
14	2732
5	65
1	66
0	66
7	13
4	33
0	183
0	179
1	19
0	0
0	0
0	0
27	0
0	0
111	0
0	0
1	0
649	0
204	0
0	46
0	46
0	45
0	43
0	42
71	263
0	149
2	179
0	120
0	15
0	111
0	110
1	210
0	221
0	221
0	1
13	1
1	11
0	11
2	0
0	94
5	145
2	23
1	113
0	109
5	65
0	163
0	164
0	446
0	446
0	445
0	445
0	55
2	68
3	68
1023	14
0	0
0	6
0	6
0	6
0	6
2	0
2	6
1	8
1	21
0	17
0	17
1	8
107	8
1	0
0	153
0	153
0	146
0	141
77	0
0	9
0	9
0	17
63	93
0	86
0	90
0	0
0	0
0	21
0	21
2	3
0	20
0	19
0	19
