UniqueCount	AmbigCount
58	400
152	139
0	686
0	662
0	676
12	24
1	152
0	152
0	0
0	0
0	0
22	258
0	258
4	178
0	97
0	64
0	0
0	0
0	0
0	0
0	0
0	0
57	603
0	603
0	570
6	596
48	0
5	328
0	328
1	0
1	23
16	919
0	134
1	134
0	134
0	134
0	134
0	134
43	1
41	376
6	18
0	43
5	185
0	37
1	35
0	37
0	41
0	174
30	364
0	16
2	15
1	350
0	0
0	422
0	422
0	0
0	0
0	0
0	0
0	0
0	0
169	307
0	3
0	3
0	0
0	3
0	2
89	0
0	0
0	10
10	1196
0	91
0	91
56	0
10	123
0	100
0	100
0	31
0	31
0	0
1	0
27	106
0	36
0	36
0	0
0	21
0	31
0	0
0	10
0	10
0	1
0	0
2	19
0	0
0	1
0	1
3	0
3	22
0	22
106	6717
0	6740
29	6733
0	0
0	0
0	0
0	0
0	0
0	0
4	81
0	0
0	0
3	5142
0	5142
0	0
0	0
0	0
0	0
4	29
2	54
0	0
0	0
3	9
2	12
0	41
1	41
0	41
36	1320
0	212
0	212
0	1316
0	1280
0	0
8	3
3	35
0	32
0	877
0	867
118	0
7	3
1	3
0	0
0	0
1	0
2	4
0	484
1	484
0	4
3	436
69	6
540	3
0	11
0	11
0	11
0	11
0	11
0	11
16	13
0	11
0	11
0	0
0	11
184	60
2	128
0	129
0	128
0	117
1512	0
0	0
0	27
0	27
0	27
2	26
1	26
0	34
0	38
20	89
0	699
1	699
0	80
0	80
0	80
0	76
1	76
28	0
223	3
434	37
0	0
0	0
39	0
0	0
6	1307
0	1743
0	1720
4	1720
5	118
0	118
0	67
1	67
0	67
0	66
1	66
0	0
0	0
8	238
3	238
0	1
0	1
0	0
0	0
9	59
0	7
0	0
0	7
0	8
0	1
7	116
17	1
0	0
1	0
0	0
0	0
0	0
0	0
0	0
4	161
2	0
2	6
34	16
0	15
5	0
1	0
38	0
5	2
18	0
1	0
0	24
0	71
0	175
0	176
0	44
2	45
0	45
2	45
0	70
45	70
0	69
3	83
0	1
0	1
0	22
264	22
9	30
1	30
0	2
33	372
0	0
0	2
1	0
0	0
73	0
0	3
0	0
0	3
0	40
8	105
0	221
1	220
0	212
0	164
0	11
0	11
0	11
0	11
0	13
0	9
152	9
0	0
7	6
26	1
1	32
0	41
1	39
1	191
0	26
0	0
0	0
0	0
0	0
4	155
0	155
743	0
0	194
0	192
0	188
8	0
6	93
1	0
0	0
0	0
0	0
0	1
2	1
3	0
64	0
50	0
0	8
0	8
0	196
0	196
863	0
147	1380
5	1380
0	0
0	0
0	283
0	283
0	42
0	16
0	39
295	0
10	34
0	3783
0	3787
29	71
0	3820
37	36
5	3879
4	131
0	132
0	132
7	12
4	24
0	130
0	128
5	7
0	1
0	1
0	0
125	0
0	0
83	0
0	0
5	0
235	0
55	0
0	69
0	67
0	66
0	65
0	64
49	138
0	78
2	97
0	60
0	14
0	144
0	144
0	206
0	220
0	221
0	0
3	0
0	2
0	2
5	0
0	155
10	232
4	12
1	84
0	83
3	10
0	35
0	35
0	193
0	193
0	193
0	193
0	16
2	20
2	20
751	28
5	0
0	0
0	0
0	0
0	0
5	18
2	60
7	63
1	158
0	101
0	101
0	10
21	10
0	0
0	99
0	99
0	96
0	94
27	0
0	27
2	27
7	34
86	198
0	203
0	205
0	0
0	0
0	7
0	7
0	0
0	10
0	6
0	6
0	4
0	6
0	4
0	0
0	0
0	0
0	0
0	94
0	94
0	94
0	94
11582	0
1	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	11
0	179
92	31
0	23
1	0
7	21
1	21
0	0
63	0
0	10
1	10
1	10
4	28
19	18
784	46
55	692
2	692
0	0
