run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR3644725	SAMN05213522	SRX1828933	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/005/SRR3644725/SRR3644725.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/005/SRR3644725	
SRR3644730	SAMN05213527	SRX1828938	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/000/SRR3644730/SRR3644730.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/000/SRR3644730	
SRR3644740	SAMN05213537	SRX1828948	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/000/SRR3644740/SRR3644740.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/000/SRR3644740	
SRR3644746	SAMN05213543	SRX1828954	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/006/SRR3644746/SRR3644746.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/006/SRR3644746	
SRR3644747	SAMN05213548	SRX1828955	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/007/SRR3644747/SRR3644747.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/007/SRR3644747	
SRR3644752	SAMN05213546	SRX1828960	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/002/SRR3644752/SRR3644752.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/002/SRR3644752	
SRR3644753	SAMN05213547	SRX1828961	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/003/SRR3644753/SRR3644753.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/003/SRR3644753	
SRR3644765	SAMN05213562	SRX1828973	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/005/SRR3644765/SRR3644765.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/005/SRR3644765	
SRR3644768	SAMN05213565	SRX1828976	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/008/SRR3644768/SRR3644768.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/008/SRR3644768	
SRR3644770	SAMN05213567	SRX1828978	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/000/SRR3644770/SRR3644770.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/000/SRR3644770	
SRR3644771	SAMN05213568	SRX1828979	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/001/SRR3644771/SRR3644771.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/001/SRR3644771	
SRR3644772	SAMN05213569	SRX1828980	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/002/SRR3644772/SRR3644772.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/002/SRR3644772	
SRR3644773	SAMN05213570	SRX1828981	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/003/SRR3644773/SRR3644773.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/003/SRR3644773	
SRR3644774	SAMN05213571	SRX1828982	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/004/SRR3644774/SRR3644774.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/004/SRR3644774	
SRR3644776	SAMN05213573	SRX1828984	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/006/SRR3644776/SRR3644776.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/006/SRR3644776	
SRR3644777	SAMN05213574	SRX1828985	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/007/SRR3644777/SRR3644777.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/007/SRR3644777	
SRR3644722	SAMN05213519	SRX1828930	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/002/SRR3644722/SRR3644722.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/002/SRR3644722	
SRR3644723	SAMN05213520	SRX1828931	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/003/SRR3644723/SRR3644723.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/003/SRR3644723	
SRR3644724	SAMN05213521	SRX1828932	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/004/SRR3644724/SRR3644724.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/004/SRR3644724	
SRR3644726	SAMN05213523	SRX1828934	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/006/SRR3644726/SRR3644726.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/006/SRR3644726	
SRR3644727	SAMN05213524	SRX1828935	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/007/SRR3644727/SRR3644727.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/007/SRR3644727	
SRR3644728	SAMN05213525	SRX1828936	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/008/SRR3644728/SRR3644728.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/008/SRR3644728	
SRR3644731	SAMN05213528	SRX1828939	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/001/SRR3644731/SRR3644731.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/001/SRR3644731	
SRR3644735	SAMN05213532	SRX1828943	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/005/SRR3644735/SRR3644735.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/005/SRR3644735	
SRR3644736	SAMN05213533	SRX1828944	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/006/SRR3644736/SRR3644736.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/006/SRR3644736	
SRR3644737	SAMN05213534	SRX1828945	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/007/SRR3644737/SRR3644737.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/007/SRR3644737	
SRR3644741	SAMN05213538	SRX1828949	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/001/SRR3644741/SRR3644741.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/001/SRR3644741	
SRR3644742	SAMN05213539	SRX1828950	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/002/SRR3644742/SRR3644742.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/002/SRR3644742	
SRR3644743	SAMN05213540	SRX1828951	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/003/SRR3644743/SRR3644743.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/003/SRR3644743	
SRR3644744	SAMN05213541	SRX1828952	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/004/SRR3644744/SRR3644744.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/004/SRR3644744	
SRR3644748	SAMN05213549	SRX1828956	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/008/SRR3644748/SRR3644748.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/008/SRR3644748	
SRR3644750	SAMN05213544	SRX1828958	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/000/SRR3644750/SRR3644750.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/000/SRR3644750	
SRR3644751	SAMN05213545	SRX1828959	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/001/SRR3644751/SRR3644751.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/001/SRR3644751	
SRR3644720	SAMN05213517	SRX1828928	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/000/SRR3644720/SRR3644720.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/000/SRR3644720	
SRR3644754	SAMN05213551	SRX1828962	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/004/SRR3644754/SRR3644754.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/004/SRR3644754	
SRR3644721	SAMN05213518	SRX1828929	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/001/SRR3644721/SRR3644721.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/001/SRR3644721	
SRR3644755	SAMN05213552	SRX1828963	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/005/SRR3644755/SRR3644755.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/005/SRR3644755	
SRR3644756	SAMN05213553	SRX1828964	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/006/SRR3644756/SRR3644756.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/006/SRR3644756	
SRR3644729	SAMN05213526	SRX1828937	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/009/SRR3644729/SRR3644729.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/009/SRR3644729	
SRR3644758	SAMN05213555	SRX1828966	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/008/SRR3644758/SRR3644758.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/008/SRR3644758	
SRR3644732	SAMN05213529	SRX1828940	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/002/SRR3644732/SRR3644732.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/002/SRR3644732	
SRR3644767	SAMN05213564	SRX1828975	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/007/SRR3644767/SRR3644767.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/007/SRR3644767	
SRR3644733	SAMN05213530	SRX1828941	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/003/SRR3644733/SRR3644733.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/003/SRR3644733	
SRR3644775	SAMN05213572	SRX1828983	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/005/SRR3644775/SRR3644775.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/005/SRR3644775	
SRR3644734	SAMN05213531	SRX1828942	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/004/SRR3644734/SRR3644734.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/004/SRR3644734	
SRR3644738	SAMN05213535	SRX1828946	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/008/SRR3644738/SRR3644738.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/008/SRR3644738	
SRR3644739	SAMN05213536	SRX1828947	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/009/SRR3644739/SRR3644739.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/009/SRR3644739	
SRR3644745	SAMN05213542	SRX1828953	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/005/SRR3644745/SRR3644745.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/005/SRR3644745	
SRR3644749	SAMN05213550	SRX1828957	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/009/SRR3644749/SRR3644749.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/009/SRR3644749	
SRR3644757	SAMN05213554	SRX1828965	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/007/SRR3644757/SRR3644757.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/007/SRR3644757	
SRR3644759	SAMN05213556	SRX1828967	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/009/SRR3644759/SRR3644759.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/009/SRR3644759	
SRR3644760	SAMN05213557	SRX1828968	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/000/SRR3644760/SRR3644760.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/000/SRR3644760	
SRR3644761	SAMN05213558	SRX1828969	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/001/SRR3644761/SRR3644761.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/001/SRR3644761	
SRR3644762	SAMN05213559	SRX1828970	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/002/SRR3644762/SRR3644762.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/002/SRR3644762	
SRR3644763	SAMN05213560	SRX1828971	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/003/SRR3644763/SRR3644763.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/003/SRR3644763	
SRR3644764	SAMN05213561	SRX1828972	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/004/SRR3644764/SRR3644764.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/004/SRR3644764	
SRR3644766	SAMN05213563	SRX1828974	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/006/SRR3644766/SRR3644766.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/006/SRR3644766	
SRR3644769	SAMN05213566	SRX1828977	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/009/SRR3644769/SRR3644769.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/009/SRR3644769	
SRR3644778	SAMN05213575	SRX1828986	PRJNA324703	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/008/SRR3644778/SRR3644778.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR364/008/SRR3644778	
