UniqueCount	AmbigCount
100	1676
2977	1427
0	6078
26	5958
46	5830
23	908
192	2763
1	2763
0	0
0	0
0	0
755	3654
0	3654
60	2598
1	275
1	161
0	0
1	4
0	4
0	4
0	4
0	4
321	2107
2	2107
0	1788
3	1980
1138	0
1	4
0	4
0	0
0	451
9	1014
0	691
0	688
9	685
1	684
2	688
5	688
20	0
41	538
104	128
0	264
32	615
0	247
2	254
0	254
3	290
0	552
1	822
0	0
0	25
2	822
0	1
0	472
0	472
0	1
0	1
0	1
0	1
0	1
0	0
1113	873
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	676
195	4905
0	1327
2	1215
140	0
38	221
4	1161
33	1161
72	174
0	174
0	0
2	0
74	353
0	51
0	51
0	0
0	3
0	23
0	0
0	20
0	20
0	0
0	0
5	45
0	0
1	628
0	628
15	0
7	55
1	55
1	12
0	12
2	17
10	15
0	15
1	1
0	0
0	0
0	0
58	879
0	0
0	0
25	3251
5	3251
0	0
0	0
0	0
1	0
15	9
11	26
0	0
5	0
12	46
12	73
0	307
3	303
0	295
15	1621
5	415
0	415
0	1589
2	1557
1	0
8	61
24	484
0	106
3	316
0	285
2518	0
2605	1829
55	1829
2	0
0	1
0	0
0	499
3	673
40	683
0	529
244	1454
6272	1008
654	0
1	3926
0	4168
0	4160
0	4004
0	4143
0	4162
123	4048
0	3998
2	17
0	0
0	17
150	8
3	2286
0	2299
5	2285
3	1601
3125	0
0	0
62	6727
1	6727
0	6727
3	4003
4	3305
0	50
4	69
80	552
0	1059
29	1057
0	337
0	333
0	333
94	1456
13	1456
103	0
1133	12
1737	137
0	0
0	0
1311	0
38	0
9	3477
0	4183
4	4171
12	4171
584	1430
3	1430
0	2051
22	2121
1	2060
18	2114
6	2029
297	924
1	924
0	2
0	2
0	29
0	29
3	1173
0	1175
3499	1117
8	1181
0	703
0	1134
7	1013
0	1588
411	1644
36	230
0	327
927	327
0	0
0	0
0	0
0	0
0	0
15	88
2	0
19	197
443	585
4	543
19	1
0	1
885	0
61	82
2839	76
0	0
141	2185
1	7239
0	9215
0	9218
0	1917
4	263
0	263
3	263
0	602
115	602
3	601
1	17
0	1
0	1
0	0
2	0
519	627
35	627
1	54
67	548
0	49
0	53
15	1
2	1
0	0
1	4966
72	805
15	4981
111	14549
1886	41097
0	50731
67	50307
293	48288
5	27203
1	1111
15	1272
4	1272
3	1243
24	1000
0	33
490	33
0	0
40	157
1658	106
4	247
0	260
0	239
8	329
1	128
0	0
0	0
0	0
3	0
58	602
0	602
1301	0
0	2532
2	2405
1	2480
323	0
379	220
6	0
0	0
0	0
0	0
0	0
6	0
0	1
350	0
521	1
0	51
2	51
0	341
33	342
0	0
0	0
0	0
1	0
1	0
0	17256
3	17256
0	1113
1	661
0	1071
1393	0
273	542
3	7010
26	6938
320	1013
0	7260
139	228
49	6545
275	7324
21	7355
21	7352
6	129
9	229
8	614
2	567
4	149
0	0
0	0
0	0
8	0
1	0
2530	0
0	0
0	0
115	0
4159	0
0	296
2	293
0	291
0	291
0	288
184	513
0	395
1	280
0	129
0	320
0	2651
0	2584
0	1158
15	1488
0	1488
246	1416
10006	1416
1481	12779
5	12779
27046	0
2	118
5	115
2	19
4	65
0	62
1	2
0	12
0	12
0	169
0	169
0	169
0	169
0	7
12	333
57	333
3935	54
15	0
0	1
0	1
0	1
0	1
2	6
0	4
0	5
