UniqueCount	AmbigCount
118	1489
3285	1188
0	6383
20	6269
49	6121
22	653
140	2184
0	2184
0	0
0	0
0	0
878	4313
0	4313
100	3068
1	341
2	234
0	0
0	4
0	2
0	4
0	2
0	2
449	3116
1	3116
0	2736
12	2941
1437	0
1	10
0	10
0	0
0	445
11	1176
0	1503
0	1497
13	1481
1	1489
3	1497
8	1497
12	1
47	616
239	174
0	368
31	777
0	344
4	356
0	358
0	360
1	686
1	1808
0	3
0	33
0	1806
0	1
0	683
0	683
0	1
0	1
0	1
0	1
0	0
0	0
1138	1345
0	1
0	1
0	1
0	1
0	0
2	0
0	0
1	664
287	4943
0	1290
5	1197
143	0
73	337
5	1255
16	1255
42	134
1	134
0	0
0	0
92	396
0	62
0	62
0	0
0	4
0	32
0	0
0	31
0	31
0	0
0	0
10	69
0	0
3	299
0	299
26	0
6	27
1	27
0	15
0	15
1	17
65	49
0	49
1	4
0	0
0	0
0	8
110	1141
0	0
0	0
20	2876
4	2876
0	0
0	0
0	0
0	0
22	10
26	27
0	0
28	0
11	53
14	68
0	298
1	289
0	286
22	1895
6	429
0	429
0	1882
3	1855
1	0
5	68
33	585
0	126
3	397
0	356
2864	0
2433	1603
43	1603
0	0
0	0
0	0
1	802
6	873
68	872
0	838
121	1008
3137	485
707	0
0	3993
0	4262
3	4254
0	4086
0	4220
0	4255
90	4111
0	4079
10	54
0	2
1	52
214	11
4	2754
0	2777
0	2756
3	1991
2755	0
0	0
62	6570
3	6570
0	6570
1	3831
1	3145
0	65
4	92
90	707
0	1336
32	1333
0	370
0	363
0	363
127	1615
16	1615
180	0
1525	6
2013	185
0	0
0	0
1246	0
55	0
8	5642
0	6981
4	6954
16	6954
535	1519
2	1519
0	2852
39	2953
2	2893
16	2944
20	2854
96	273
0	273
0	3
0	3
3	28
1	28
2	243
0	243
759	280
1	618
0	339
0	593
5	548
0	776
154	852
38	41
0	65
205	65
0	0
0	0
0	0
3	0
3	0
23	72
13	0
29	247
603	664
18	612
22	2
0	2
1350	0
52	83
2129	70
5	0
138	1757
0	5678
0	7258
0	7254
1	1500
3	285
3	285
5	285
0	921
149	921
3	919
6	15
0	0
0	0
0	0
0	0
840	1035
52	1035
1	182
96	735
0	168
5	171
15	2
9	2
8	0
0	5549
99	956
26	5563
96	8099
1038	21986
0	27904
40	27679
143	26472
0	15082
1	1237
14	1396
4	1396
2	1373
7	1141
2	34
555	34
0	0
36	201
1804	125
11	425
0	467
7	417
13	537
13	246
1	0
0	0
0	2
0	2
50	578
3	578
2102	0
0	3030
0	2895
0	2978
366	0
584	240
9	1
1	0
0	0
0	0
0	0
4	0
1	0
182	0
620	2
1	84
0	84
0	256
14	257
0	0
0	0
0	0
0	0
3	0
0	15265
4	15265
0	1004
2	594
0	968
1571	0
429	656
2	7359
24	7271
256	828
0	7494
179	116
55	6949
305	8530
16	8568
20	8566
16	143
23	292
6	764
3	700
34	156
0	0
0	0
0	0
12	0
5	0
3464	0
2	0
0	0
206	1
3672	0
0	451
4	442
0	446
0	442
0	425
237	577
0	400
0	352
0	191
2	234
0	2947
0	2895
0	1133
21	1406
0	1406
448	1240
9302	1240
825	7695
1	7695
6361	0
2	163
5	112
0	4
0	82
0	81
8	31
0	92
0	92
0	345
0	345
0	345
0	345
1	26
9	336
75	336
5428	78
11	0
0	0
0	0
0	0
0	0
4	3
0	0
0	0
0	6
0	6
0	6
55	370
436	370
0	0
25	4205
0	4235
1	4144
2	3967
164	0
7	324
21	324
104	506
392	739
13	1588
0	1632
0	0
0	0
1	20
0	20
4	5
0	18
0	16
0	16
0	3
0	15
0	2
0	0
0	0
2	0
0	0
1	2077
2	2073
18	2075
0	2079
0	0
55	41
0	21
0	21
0	0
1	0
0	0
0	0
0	0
0	0
133	86
4	543
175	522
0	0
0	0
0	12
0	12
0	0
1457	0
0	342
11	411
0	508
21	831
185	792
24945	142
0	0
0	0
0	0
0	0
0	0
0	0
0	0
292	1891
46	23531
1140	23531
21	22369
16	0
335	296
4	588
0	776
5	480
0	5
0	5
33	388
326	17
0	0
16	4
1618	0
0	7
0	7
0	1
0	7
0	7
0	4
6	236
2	236
0	0
0	0
0	0
0	0
0	0
670	202
5	202
9	0
0	0
119	0
0	0
0	3750
2	3548
2	3426
1	1292
5	1292
8	1291
0	508
6	1255
3	1263
1	1340
0	765
0	1596
29	1563
9	1576
0	389
127	385
0	392
0	360
4	389
0	0
0	2
0	3
0	2
0	2
0	1
5	1210
16	1253
2	1247
0	0
1	34
0	34
0	0
3	1064
8	1064
16	1051
0	9
0	9
0	9
0	1
0	1
0	0
90	171
0	0
0	0
0	0
0	119
3	414
2	408
0	320
1	102
5	0
2	316
518	316
3	0
0	1
2	1
5	1
0	1
4	10
0	0
1	943
0	943
3	0
18	0
3	3515
0	3510
0	3466
0	3597
0	1199
0	1005
0	1400
32	10538
7	10320
6	10244
0	7623
0	0
3	10
2	10
0	10
0	2
0	2
1	2
0	0
51	0
3	1551
2	1551
714	824
1871	10618
48	10226
12	11890
